ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
Wannemacher-2011-736-391	391	wink	1655	BLINK	
Wannemacher-2011-736-392	392	eyelid	17	EYELID	
Wannemacher-2011-736-393	393	eyebrow	1173	EYEBROW	
Wannemacher-2011-736-394	394	blind	1653	BLIND	
Wannemacher-2011-736-395	395	eye	1248	EYE	
Wannemacher-2011-736-396	396	face	1560	FACE	
Wannemacher-2011-736-397	397	spider	843	SPIDER	
Wannemacher-2011-736-398	398	spider web	1065	SPIDER WEB	
Wannemacher-2011-736-399	399	sand	671	SAND	
Wannemacher-2011-736-400	400	earth, soil	1228	EARTH (SOIL)	
Wannemacher-2011-736-401	401	think	2271	THINK	
Wannemacher-2011-736-402	402	think	2271	THINK	
Wannemacher-2011-736-403	403	night	1233	NIGHT	
Wannemacher-2011-736-404	404	lamp	625	LAMP	
Wannemacher-2011-736-405	405	candle	1273	CANDLE	
Wannemacher-2011-736-406	406	ashes	646	ASH	
Wannemacher-2011-736-407	407	woman	962	WOMAN	
Wannemacher-2011-736-408	408	smoke	778	SMOKE (EXHAUST)	
Wannemacher-2011-736-409	409	fire	221	FIRE	
Wannemacher-2011-736-410	410	mother	1216	MOTHER	
Wannemacher-2011-736-411	411	sound	1811	SOUND OR NOISE	
Wannemacher-2011-736-412	412	name	1405	NAME	
Wannemacher-2011-736-413	413	name	1405	NAME	
Wannemacher-2011-736-414	414	to name	1405	NAME	
Wannemacher-2011-736-415	415	language	1307	LANGUAGE	
Wannemacher-2011-736-416	416	landslide			
Wannemacher-2011-736-417	417	sink	1088	SINK (DESCEND)	
Wannemacher-2011-736-418	418	gibbon	2511	GIBBON	
Wannemacher-2011-736-419	419	tired	1757	TIRED	
Wannemacher-2011-736-420	420	arrow	977	ARROW	
Wannemacher-2011-736-421	421	float	1574	FLOAT	
Wannemacher-2011-736-422	422	flow	2003	FLOW	
Wannemacher-2011-736-423	423	bear (n)	1820	BEAR	
Wannemacher-2011-736-424	424	many (people)	1198	MANY	
Wannemacher-2011-736-425	425	viper	2654	VIPER	
Wannemacher-2011-736-426	426	coconut	970	COCONUT	
Wannemacher-2011-736-427	427	worker			
