ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN
408	601	verb	kʰ j - u - ³⁵	to blow (of wind)	Bola	blow nose	1738.32	Bola (Luxi) TBL	khju³⁵  | 1738.32	blow-2		9	TBL		175	khju³⁵	khju³⁵	blow (one's nose)	kʰ j u ³⁵	430653
409	601	verb	kʰ j aː u - ⁵³	to blow (of wind)	Lashi	blow nose	1738.33	Leqi (Luxi) TBL	khjaːu⁵³  | 1738.33			9	TBL		175	khjaːu⁵³	khjaːu⁵³	blow (one's nose)	kʰ j aː u ⁵³	430654
411	601	verb	kʰ j - u k ⁵⁵	to blow (of wind)	Maru	blow nose	1738.31	Langsu (Luxi) TBL	khjuk⁵⁵  | 1738.31	blow		9	TBL		175	khjuk⁵⁵	khjuk⁵⁵	blow (one's nose)	kʰ j u k ⁵⁵	430652
487	150	noun	ʃ ă ³⁵ - + - u - ³¹	the bone	Bola	bone	0133.32	Bola (Luxi) TBL	ʃă³⁵ u³¹  | 0133.32	meat bone		107 109	TBL		1394	ʃă³⁵|u³¹	ʃă³⁵u³¹	bone	ʃ ă ³⁵ + u ³¹	351856
490	150	noun	ʃ ŏ ⁵⁵ + j o u ³³	the bone	Lashi	bone	0133.33	Leqi (Luxi) TBL	ʃŏ⁵⁵ jou³³  | 0133.33	meat bone		107 109	TBL		1394	ʃŏ⁵⁵jou³³	ʃŏ⁵⁵jou³³	bone	ʃ ŏ ⁵⁵ + j o u ³³	351857
493	150	noun	ʃ ŏ ³⁵ + ɣ u k ⁵⁵	the bone	Maru	bone	0133.31	Langsu (Luxi) TBL	ʃŏ³⁵ ɣuk⁵⁵  | 0133.31	meat bone		107 109	TBL		1394	ʃŏ³⁵ɣuk⁵⁵	ʃŏ³⁵ɣuk⁵⁵	bone	ʃ ŏ ³⁵ + ɣ u k ⁵⁵	351855
526	158	noun	ʂ ə k ⁵⁵ + k ʐ a ŋ ⁵⁵	the branch	Achang_Longchuan	branch	0374.28	Achang (Longchuan) TBL	ʂək⁵⁵ kʐaŋ⁵⁵  | 0374.28	tree branch		113 115	TBL		1531	ʂək⁵⁵kʐaŋ⁵⁵	ʂək⁵⁵kʐaŋ⁵⁵	branch / twig	ʂ ə k ⁵⁵ + k ʐ a ŋ ⁵⁵	364152
528	158	noun	s i k ⁵⁵ + k j a̰ ŋ ⁵¹	the branch	Atsi	branch	0374.30	Atsi [Zaiwa] TBL	sik⁵⁵ kja̱ŋ⁵¹  | 0374.30	tree branch		113 115	TBL		1531	sik⁵⁵kja̱ŋ⁵¹	sik⁵⁵kja̱ŋ⁵¹	branch / twig	s i k ⁵⁵ + k j a̰ ŋ ⁵¹	364154
529	158	noun	s a k ⁵⁵ + k a̰ ʔ ⁵⁵	the branch	Bola	branch	0374.32	Bola (Luxi) TBL	sak⁵⁵ ka̱ʔ⁵⁵  | 0374.32	tree branch		113 114	TBL		1531	sak⁵⁵ka̱ʔ⁵⁵	sak⁵⁵ka̱ʔ⁵⁵	branch / twig	s a k ⁵⁵ + k a̰ ʔ ⁵⁵	364156
532	158	noun	s ə̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵	the branch	Lashi	branch	0374.33	Leqi (Luxi) TBL	sə̱k⁵⁵ kɔ̱ʔ⁵⁵  | 0374.33	tree branch		113 114	TBL		1531	sə̱k⁵⁵kɔ̱ʔ⁵⁵	sə̱k⁵⁵kɔ̱ʔ⁵⁵	branch / twig	s ə̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵	364157
