ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN
1592	567	other	p - ɯ ŋ ³⁵	full	Xiandao	full adj	0984.29	Achang (Xiandao) TBL	pɯŋ³⁵  | 0984.29	full		318	TBL		1429	pɯŋ³⁵	pɯŋ³⁵	full	p ɯ ŋ ³⁵	395731
1604	742	verb	ts i ³¹	to give	Achang_Longchuan	give v.	1345.28	Achang (Longchuan) TBL	tsi³¹  | 1345.28	give		322	TBL		1447	tsi³¹	tsi³¹	give	ts i ³¹	412458
1605	1167	verb	p j i - - ²¹	to give	Atsi	give v.	1345.30	Atsi [Zaiwa] TBL	pji²¹  | 1345.30	give 		321	TBL		1447	pji²¹	pji²¹	give	p j i ²¹	412460
1606	1167	verb	p - i - - ³¹	to give	Bola	give v.	1345.32	Bola (Luxi) TBL	pi³¹  | 1345.32	give		321	TBL		1447	pi³¹	pi³¹	give	p i ³¹	412462
1608	1167	verb	p j eː i - ³³	to give	Lashi	give v.	1345.33	Leqi (Luxi) TBL	pjeːi³³  | 1345.33	give		321	TBL		1447	pjeːi³³	pjeːi³³	give	p j eː i ³³	412463
1609	1167	verb	p j i - k ⁵⁵	to give	Maru	give v.	1345.31	Langsu (Luxi) TBL	pjik⁵⁵  | 1345.31	give		321	TBL		1447	pjik⁵⁵	pjik⁵⁵	give	p j i k ⁵⁵	412461
1610	742	verb	ts i ³¹	to give	Xiandao	give v.	1345.29	Achang (Xiandao) TBL	tsi³¹  | 1345.29	give		322	TBL		1447	tsi³¹	tsi³¹	give	ts i ³¹	412459
1653	1169	other	tɕ i - ⁵⁵	good	Achang_Longchuan	good	1052.28	Achang (Longchuan) TBL	tɕi⁵⁵  | 1052.28	good		331	TBL		1035	tɕi⁵⁵	tɕi⁵⁵	good	tɕ i ⁵⁵	399139
1655	1169	other	k e - ⁵¹	good	Atsi	good	1052.30	Atsi [Zaiwa] TBL	ke⁵¹  | 1052.30	good		331	TBL		1035	ke⁵¹	ke⁵¹	good	k e ⁵¹	399141
1656	1169	other	k a i ⁵⁵	good	Bola	good	1052.32	Bola (Luxi) TBL	kai⁵⁵  | 1052.32	good		331	TBL		1035	kai⁵⁵	kai⁵⁵	good	k a i ⁵⁵	399143
1659	1169	other	k ɛː - ³¹	good	Lashi	good	1052.33	Leqi (Luxi) TBL	kɛː³¹  | 1052.33	good		331	TBL		1035	kɛː³¹	kɛː³¹	good	k ɛː ³¹	399144
1660	1169	other	k a i ³¹	good	Maru	good	1052.31	Langsu (Luxi) TBL	kai³¹  | 1052.31	good		331	TBL		1035	kai³¹	kai³¹	good	k a i ³¹	399142
1661	1169	other	ɕ ɛ - ⁵⁵	good	Xiandao	good	1052.29	Achang (Xiandao) TBL	cɛ⁵⁵  | 1052.29	good		331	TBL		1035	cɛ⁵⁵	cɛ⁵⁵	good	ɕ ɛ ⁵⁵	399140
1667	230	noun	s a ⁵⁵	the grass	Achang_Longchuan	grass 2	0436.28	Achang (Longchuan) TBL	sa⁵⁵  | 0436.28	grass		333	TBL		606	sa⁵⁵	sa⁵⁵	grass	s a ⁵⁵	367344
1669	1170	noun	n a̰ m ²¹	the grass	Atsi	grass 1	0436.30	Atsi [Zaiwa] TBL	na̱m²¹  | 0436.30	grass		1063	TBL		606	na̱m²¹	na̱m²¹	grass	n a̰ m ²¹	367346
1671	1170	noun	m ɛ̰̃ ∼ ³⁵	the grass	Bola	grass 1	0436.32	Bola (Luxi) TBL	mɛ̱̃³⁵  | 0436.32	grass		332	TBL		606	mɛ̱̃³⁵	mɛ̱̃³⁵	grass	m ɛ̰̃ ∼ ³⁵	367348
1674	1170	noun	m a̰ n ⁵⁵	the grass	Lashi	grass 1	0436.33	Leqi (Luxi) TBL	ma̱n⁵⁵  | 0436.33	grass		332	TBL		606	ma̱n⁵⁵	ma̱n⁵⁵	grass	m a̰ n ⁵⁵	367349
1675	1170	noun	m a̰ ŋ ³⁵	the grass	Maru	grass 1	0436.31	Langsu (Luxi) TBL	ma̱ŋ³⁵  | 0436.31	grass		332	TBL		606	ma̱ŋ³⁵	ma̱ŋ³⁵	grass	m a̰ ŋ ³⁵	367347
1677	230	noun	s a ⁵⁵	the grass	Xiandao	grass 2	0436.29	Achang (Xiandao) TBL	sa⁵⁵  | 0436.29	grass		333	TBL		606	sa⁵⁵	sa⁵⁵	grass	s a ⁵⁵	367345
1684	625	other	nʲ - a u - ⁵⁵	green	Achang_Longchuan	green	1009.28	Achang (Longchuan) TBL	ȵau⁵⁵  | 1009.28	green		334	TBL		1425	ȵau⁵⁵	ȵau⁵⁵	green	nʲ a u ⁵⁵	397009
1686	625	other	ŋ j u i - ⁵¹	green	Atsi	green	1009.30	Atsi [Zaiwa] TBL	ŋjui⁵¹  | 1009.30	blue-green		334	TBL		1425	ŋjui⁵¹	ŋjui⁵¹	green	ŋ j u i ⁵¹	397011
1687	625	other	ŋ j u - ŋ ⁵⁵	green	Bola	green	1009.32	Bola (Luxi) TBL	ŋjuŋ⁵⁵  | 1009.32	blue-green		334	TBL		1425	ŋjuŋ⁵⁵	ŋjuŋ⁵⁵	green	ŋ j u ŋ ⁵⁵	397013
1690	625	other	ŋ j aː u - ³¹	green	Lashi	green	1009.33	Leqi (Luxi) TBL	ŋjaːu³¹  | 1009.33	green		334	TBL		1425	ŋjaːu³¹	ŋjaːu³¹	green	ŋ j aː u ³¹	397014
1691	625	other	ŋ j u - k ³¹	green	Maru	green	1009.31	Langsu (Luxi) TBL	ŋjuk³¹  | 1009.31	blue-green		334	TBL		1425	ŋjuk³¹	ŋjuk³¹	green	ŋ j u k ³¹	397012
1692	625	other	ɲ - a u - ⁵⁵	green	Xiandao	green	1009.29	Achang (Xiandao) TBL	ɲau⁵⁵  | 1009.29	blue-green		334	TBL		1425	ɲau⁵⁵	ɲau⁵⁵	green	ɲ a u ⁵⁵	397010
1714	1173	noun	u ³¹ + m - u i - ³¹	the hair (of the head)	Achang_Longchuan	hair n	0075.28	Achang (Longchuan) TBL	u³¹ mui³¹  | 0075.28	head hair		338 273	TBL		1040	u³¹mui³¹	u³¹mui³¹	hair	u ³¹ + m u i ³¹	348865
1717	144	noun	u ²¹ + tsʰ a m ⁵¹	the hair (of the head)	Atsi	hair n	0075.30	Atsi [Zaiwa] TBL	u²¹ tsham⁵¹  | 0075.30	head head-hair		338 339	TBL		1040	u²¹tsham⁵¹	u²¹tsham⁵¹	hair	u ²¹ + tsʰ a m ⁵¹	348867
1718	144	noun	tsʰ ɛ̃ ∼ ⁵⁵	the hair (of the head)	Bola	hair n	0075.32	Bola (Luxi) TBL	tshɛ̃⁵⁵  | 0075.32	head-hair		339	TBL		1040	tshɛ̃⁵⁵	tshɛ̃⁵⁵	hair	tsʰ ɛ̃ ∼ ⁵⁵	348869
1720	144	noun	tsʰ a m ³³	the hair (of the head)	Lashi	hair n	0075.33	Leqi (Luxi) TBL	tsham³³  | 0075.33	head-hair		339	TBL		1040	tsham³³	tsham³³	hair	tsʰ a m ³³	348870
1722	144	noun	tsʰ ɛ̃ ∼ ³¹	the hair (of the head)	Maru	hair n	0075.31	Langsu (Luxi) TBL	tshɛ̃³¹  | 0075.31	hair		339	TBL		1040	tshɛ̃³¹	tshɛ̃³¹	hair	tsʰ ɛ̃ ∼ ³¹	348868
1724	1174	noun	u ³¹	the hair (of the head)	Xiandao	hair n	0075.29	Achang (Xiandao) TBL	u³¹  | 0075.29	egg-head	I suspect something is wrong or missing here	338	TBL		1040	u³¹	u³¹	hair	u ³¹	348866
1726	145	noun	a ³¹ - - - - + m - u i - ³¹	the body hair (hair or fur)	Achang_Longchuan	hair / down n	0266.28	Achang (Longchuan) TBL	a³¹ mui³¹  | 0266.28	a-prefix hair		275 1065	TBL		189	a³¹mui³¹	a³¹mui³¹	hair / down	a ³¹ + m u i ³¹	358895
1728	145	noun	ʃ ŏ ²¹ + m - a u - ⁵⁵	the body hair (hair or fur)	Atsi	hair / down n	0266.30	Atsi [Zaiwa] TBL	ʃŏ²¹ mau⁵⁵  | 0266.30	meat hair		1066 1065	TBL		189	ʃŏ²¹mau⁵⁵	ʃŏ²¹mau⁵⁵	hair / down	ʃ ŏ ²¹ + m a u ⁵⁵	358897
1730	145	noun	ʃ ă ³⁵ + m - a u - ³⁵	the body hair (hair or fur)	Bola	hair / down n	0266.32	Bola (Luxi) TBL	ʃă³⁵ mau³⁵  | 0266.32	meat hair		1066 1065	TBL		189	ʃă³⁵mau³⁵	ʃă³⁵mau³⁵	hair / down	ʃ ă ³⁵ + m a u ³⁵	358899
1734	145	noun	ʃ ŏ ⁵⁵ + m - o u - ⁵⁵	the body hair (hair or fur)	Lashi	hair / down n	0266.33	Leqi (Luxi) TBL	ʃŏ⁵⁵ mou⁵⁵  | 0266.33	meat hair		1066 1065	TBL		189	ʃŏ⁵⁵mou⁵⁵	ʃŏ⁵⁵mou⁵⁵	hair / down	ʃ ŏ ⁵⁵ + m o u ⁵⁵	358900
1735	145	noun	ʃ ɔ̆ ³⁵ + m - u - k ⁵⁵	the body hair (hair or fur)	Maru	hair / down n	0266.31	Langsu (Luxi) TBL	ʃɔ̆³⁵ muk⁵⁵  | 0266.31	meat hair		1066 1065	TBL		189	ʃɔ̆³⁵muk⁵⁵	ʃɔ̆³⁵muk⁵⁵	hair / down	ʃ ɔ̆ ³⁵ + m u k ⁵⁵	358898
1737	145	noun	m - u i - ³¹	the body hair (hair or fur)	Xiandao	hair / down n	0266.29	Achang (Xiandao) TBL	mui³¹  | 0266.29	hair		1065	TBL		189	mui³¹	mui³¹	hair / down	m u i ³¹	358896
1746	238	noun	l a ʔ ³¹	the hand	Bola	hand	0107.32	Bola (Luxi) TBL	laʔ³¹  | 0107.32	hand		1068	TBL		1277	laʔ³¹	laʔ³¹	hand	l a ʔ ³¹	350520
1752	238	noun	l ɔ ʔ ³¹	the hand	Maru	hand	0107.31	Langsu (Luxi) TBL	lɔʔ³¹  | 0107.31	hand		1068	TBL		1277	lɔʔ³¹	lɔʔ³¹	hand	l ɔ ʔ ³¹	350519
1754	238	noun	l ɔ ʔ ⁵⁵ + n̥ a u ³¹	the hand	Xiandao	hand	0107.29	Achang (Xiandao) TBL	lɔʔ⁵⁵ n̥au³¹  | 0107.29	hand hand-2		1068 1067	TBL		1277	lɔʔ⁵⁵n̥au³¹	lɔʔ⁵⁵n̥au³¹	hand	l ɔ ʔ ⁵⁵ + n̥ a u ³¹	350517
1773	1175	noun	n i ³¹ + k u a ŋ ³¹	the head	Achang_Longchuan	head n	0074.28	Achang (Longchuan) TBL	ni³¹ kuaŋ³¹  | 0074.28	head1 head2		1069 350	TBL		1256	ni³¹kuaŋ³¹	ni³¹kuaŋ³¹	head	n i ³¹ + k u a ŋ ³¹	348809
1776	1176	noun	- u - ²¹ + l ṵ m ²¹	the head	Atsi	head n	0074.30	Atsi [Zaiwa] TBL	u²¹ lu̱m²¹  | 0074.30	head round		348 349	TBL		1256	u²¹lu̱m²¹	u²¹lu̱m²¹	head	u ²¹ + l ṵ m ²¹	348811
1778	1176	noun	- ṵ - ³⁵ + l a m ³¹	the head	Bola	head n	0074.32	Bola (Luxi) TBL	u̱³⁵ lam³¹  | 0074.32	egg round-1		348 349	TBL		1256	u̱³⁵lam³¹	u̱³⁵lam³¹	head	ṵ ³⁵ + l a m ³¹	348813
1782	1176	noun	w o̰ - ⁵⁵ + l ɔ̰ m ⁵³	the head	Lashi	head n	0074.33	Leqi (Luxi) TBL	wo̱⁵⁵ lɔ̱m⁵³  | 0074.33			348 349	TBL		1256	wo̱⁵⁵lɔ̱m⁵³	wo̱⁵⁵lɔ̱m⁵³	head	w o̰ ⁵⁵ + l ɔ̰ m ⁵³	348814
1784	1176	noun	- a u ³⁵ + l a m ³⁵	the head	Maru	head n	0074.31	Langsu (Luxi) TBL	au³⁵ lam³⁵  | 0074.31	head round		348 349	TBL		1256	au³⁵lam³⁵	au³⁵lam³⁵	head	a u ³⁵ + l a m ³⁵	348812
1787	1175	noun	- u - ³¹ + k ɔ - ŋ ³¹	the head	Xiandao	head n	0074.29	Achang (Xiandao) TBL	u³¹ kɔŋ³¹  | 0074.29	egg-head round-thing		348 350	TBL		1256	u³¹kɔŋ³¹	u³¹kɔŋ³¹	head	u ³¹ + k ɔ ŋ ³¹	348810
1805	1177	verb	k ʐ u a ³¹	to hear	Achang_Longchuan	hear v.	1682.28	Achang (Longchuan) TBL	kʐua³¹  | 1682.28	hear		351	TBL		1408	kʐua³¹	kʐua³¹	hear	k ʐ u a ³¹	428065
1806	1177	verb	v o ⁵⁵ + k j o - ²¹	to hear	Atsi	hear v.	1682.30	Atsi [Zaiwa] TBL	vo⁵⁵ kjo²¹  | 1682.30	have hear		352 351	TBL		1408	vo⁵⁵kjo²¹	vo⁵⁵kjo²¹	hear	v o ⁵⁵ + k j o ²¹	428067
1807	1177	verb	ɣ ə̆ ³¹ + k j a - ³¹	to hear	Bola	hear v.	1682.32	Bola (Luxi) TBL	ɣə̆³¹ kja³¹  | 1682.32	hear listen		352 351	TBL		1408	ɣə̆³¹kja³¹	ɣə̆³¹kja³¹	hear	ɣ ə̆ ³¹ + k j a ³¹	428069
1810	1177	verb	j ɔː ⁵⁵ + k j ɔː - ³³	to hear	Lashi	hear v.	1682.33	Leqi (Luxi) TBL	jɔː⁵⁵ kjɔː³³  | 1682.33	hear listen		352 351	TBL		1408	jɔː⁵⁵kjɔː³³	jɔː⁵⁵kjɔː³³	hear	j ɔː ⁵⁵ + k j ɔː ³³	428070
1812	1177	verb	ɣ ɔ ⁵⁵ + k j ɔ - ³⁵	to hear	Maru	hear v.	1682.31	Langsu (Luxi) TBL	ɣɔ⁵⁵ kjɔ³⁵  | 1682.31	hear listen		352 351	TBL		1408	ɣɔ⁵⁵kjɔ³⁵	ɣɔ⁵⁵kjɔ³⁵	hear	ɣ ɔ ⁵⁵ + k j ɔ ³⁵	428068
1815	1177	verb	k ʐ ɔ - ³¹	to hear	Xiandao	hear v.	1682.29	Achang (Xiandao) TBL	kʐɔ³¹  | 1682.29	hear		351	TBL		1408	kʐɔ³¹	kʐɔ³¹	hear	k ʐ ɔ ³¹	428066
1819	246	noun	n̥ʲ a - ⁵⁵ + l u m ³¹	the heart	Achang_Longchuan	heart n	0144.28	Achang (Longchuan) TBL	ȵ̥a⁵⁵ lum³¹  | 0144.28	heart round		353 354	TBL		1223	ȵ̥a⁵⁵lum³¹	ȵ̥a⁵⁵lum³¹	heart	n̥ʲ a ⁵⁵ + l u m ³¹	352412
1822	246	noun	n ḭ k ⁵⁵ + l ṵ m ²¹	the heart	Atsi	heart n	0144.30	Atsi [Zaiwa] TBL	ni̱k⁵⁵ lu̱m²¹  | 0144.30	heart round		353 354	TBL		1223	ni̱k⁵⁵lu̱m²¹	ni̱k⁵⁵lu̱m²¹	heart	n ḭ k ⁵⁵ + l ṵ m ²¹	352414
1825	246	noun	n a̰ k ⁵⁵ + l a m ³¹	the heart	Bola	heart n	0144.32	Bola (Luxi) TBL	na̱k⁵⁵ lam³¹  | 0144.32	heart round-1		353 354	TBL		1223	na̱k⁵⁵lam³¹	na̱k⁵⁵lam³¹	heart	n a̰ k ⁵⁵ + l a m ³¹	352416
1830	246	noun	n ə̰ k ⁵⁵ + l ɔ m ³³	the heart	Lashi	heart n	0144.33	Leqi (Luxi) TBL	nə̱k⁵⁵ lɔm³³  | 0144.33	heart round		353 354	TBL		1223	nə̱k⁵⁵lɔm³³	nə̱k⁵⁵lɔm³³	heart	n ə̰ k ⁵⁵ + l ɔ m ³³	352417
1833	246	noun	n a̰ k ⁵⁵ + l a m ³⁵	the heart	Maru	heart n	0144.31	Langsu (Luxi) TBL	na̱k⁵⁵ lam³⁵  | 0144.31	heart round		353 354	TBL		1223	na̱k⁵⁵lam³⁵	na̱k⁵⁵lam³⁵	heart	n a̰ k ⁵⁵ + l a m ³⁵	352415
1836	246	noun	n̥ ɔ ʔ ³¹ + l u m ³¹	the heart	Xiandao	heart n	0144.29	Achang (Xiandao) TBL	n̥ɔʔ³¹ lum³¹  | 0144.29	heart round		353 354	TBL		1223	n̥ɔʔ³¹lum³¹	n̥ɔʔ³¹lum³¹	heart	n̥ ɔ ʔ ³¹ + l u m ³¹	352413
1841	688	other	l i - ³¹	heavy	Achang_Longchuan	heavy	1014.28	Achang (Longchuan) TBL	li³¹  | 1014.28	heavy		355	TBL		1210	li³¹	li³¹	heavy	l i ³¹	397253
1843	688	other	l a i ²¹	heavy	Atsi	heavy	1014.30	Atsi [Zaiwa] TBL	lai²¹  | 1014.30	heavy		355	TBL		1210	lai²¹	lai²¹	heavy	l a i ²¹	397255
1844	688	other	l i - ³¹	heavy	Bola	heavy	1014.32	Bola (Luxi) TBL	li³¹  | 1014.32	heavy		355	TBL		1210	li³¹	li³¹	heavy	l i ³¹	397257
1847	688	other	l aː i ³³	heavy	Lashi	heavy	1014.33	Leqi (Luxi) TBL	laːi³³  | 1014.33	heavy		355	TBL		1210	laːi³³	laːi³³	heavy	l aː i ³³	397258
1848	688	other	l a - ³⁵	heavy	Maru	heavy	1014.31	Langsu (Luxi) TBL	la³⁵  | 1014.31	heavy		355	TBL		1210	la³⁵	la³⁵	heavy	l a ³⁵	397256
1849	688	other	l a i ³¹	heavy	Xiandao	heavy	1014.29	Achang (Xiandao) TBL	lai³¹  | 1014.29	heavy		355	TBL		1210	lai³¹	lai³¹	heavy	l a i ³¹	397254
1853	705	other	x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	here	Achang_Longchuan	here dem	0944.28	Achang (Longchuan) TBL	xai⁵⁵ thɔʔ⁵⁵  | 0944.28	this dir2	bad concept	356 1070	TBL		136	xai⁵⁵ thɔʔ⁵⁵	xai⁵⁵thɔʔ⁵⁵	here	x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	393597
1856	1179	other	x j i ⁵¹ + m a - ⁵⁵	here	Atsi	here dem	0944.30	Atsi [Zaiwa] TBL	xji⁵¹ ma⁵⁵  | 0944.30	this on	bad concept	356 1071	TBL		136	xji⁵¹ ma⁵⁵	xji⁵¹ma⁵⁵	here	x j i ⁵¹ + m a ⁵⁵	393599
1858	1179	other	tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵	here	Bola	here dem	0944.32	Bola (Luxi) TBL	tʃhə̆⁵⁵ mɛ̃⁵⁵-- | 0944.32	this on	bad concept	1072 1073	TBL		136	tʃhə̆⁵⁵mɛ̃⁵⁵--	tʃhə̆⁵⁵mɛ̃⁵⁵--	here	tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵	393601
1860	1179	other	x j ɛ ³³ + m ŏ - ³³	here	Lashi	here dem	0944.33	Leqi (Luxi) TBL	xjɛ³³ mŏ³³  | 0944.33	this on	bad concept	356 1071	TBL		136	xjɛ³³mŏ³³	xjɛ³³mŏ³³	here	x j ɛ ³³ + m ŏ ³³	393602
1861	1179	other	tʃʰ ɛ̆ ³¹ + m ɛ - ³¹	here	Maru	here dem	0944.31	Langsu (Luxi) TBL	tʃhɛ̆³¹ mɛ³¹  | 0944.31	this on	bad concept	1072 1073	TBL		136	tʃhɛ̆³¹ mɛ³¹	tʃhɛ̆³¹mɛ³¹	here	tʃʰ ɛ̆ ³¹ + m ɛ ³¹	393600
1863	705	other	x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	here	Xiandao	here dem	0944.29	Achang (Xiandao) TBL	xai⁵⁵ thɔʔ⁵⁵  | 0944.29	this-1 up-on	bad concept	356 1070	TBL		136	xai⁵⁵ thɔʔ⁵⁵	xai⁵⁵thɔʔ⁵⁵	here	x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	393598
1889	751	verb	s a u ⁵⁵	to hide (conceal)	Achang_Longchuan	hide (sthg.)	1169.28	Achang (Longchuan) TBL	sau⁵⁵  | 1169.28	hide	bad concept	363	TBL		602	sau⁵⁵	sau⁵⁵	hide (sthg.)	s a u ⁵⁵	404630
1890	749	verb	x a ʔ ⁵⁵	to hide (conceal)	Atsi	hide (sthg.)	1169.30	Atsi [Zaiwa] TBL	xaʔ⁵⁵  | 1169.30	hide-v	bad concept	1075	TBL		602	xaʔ⁵⁵	xaʔ⁵⁵	hide (sthg.)	x a ʔ ⁵⁵	404632
1891	755	verb	ŋ j a̰ m ³⁵	to hide (conceal)	Bola	hide (sthg.)	1169.32	Bola (Luxi) TBL	ŋja̱m³⁵  | 1169.32		bad concept	362	TBL		602	ŋja̱m³⁵	ŋja̱m³⁵	hide (sthg.)	ŋ j a̰ m ³⁵	404634
1892	755	verb	ŋ j ṵː m ⁵⁵	to hide (conceal)	Lashi	hide (sthg.)	1169.33	Leqi (Luxi) TBL	ŋju̱ːm⁵⁵  | 1169.33		bad concept	362	TBL		602	ŋju̱ːm⁵⁵	ŋju̱ːm⁵⁵	hide (sthg.)	ŋ j ṵː m ⁵⁵	404635
1893	755	verb	ŋ j a̰ m ³⁵	to hide (conceal)	Maru	hide (sthg.)	1169.31	Langsu (Luxi) TBL	ŋja̱m³⁵  | 1169.31		bad concept	362	TBL		602	ŋja̱m³⁵	ŋja̱m³⁵	hide (sthg.)	ŋ j a̰ m ³⁵	404633
1894	751	verb	s a u ⁵⁵	to hide (conceal)	Xiandao	hide (sthg.)	1169.29	Achang (Xiandao) TBL	sau⁵⁵  | 1169.29	hide	bad concept	363	TBL		602	sau⁵⁵	sau⁵⁵	hide (sthg.)	s a u ⁵⁵	404631
1918	770	verb	m̥ ʐ ə ʔ ⁵⁵	to hold	Achang_Longchuan	hold (a pen) v.	1709.28	Achang (Longchuan) TBL	m̥ʐəʔ⁵⁵  | 1709.28		bad concept	1076	TBL		1448	m̥ʐəʔ⁵⁵	m̥ʐəʔ⁵⁵	hold (a pen)	m̥ ʐ ə ʔ ⁵⁵	429329
1921	775	verb	ts u i - ²¹	to hold	Atsi	hold (a pen) v.	1709.30	Atsi [Zaiwa] TBL	tsui²¹  | 1709.30	hold	bad concept	994	TBL		1448	tsui²¹	tsui²¹	hold (a pen)	ts u i ²¹	429331
1923	775	verb	ts a̰ p ⁵⁵	to hold	Bola	hold (a pen) v.	1709.32	Bola (Luxi) TBL	tsa̱p⁵⁵  | 1709.32		bad concept	369	TBL		1448	tsa̱p⁵⁵	tsa̱p⁵⁵	hold (a pen)	ts a̰ p ⁵⁵	429333
1926	775	verb	ts ɔ i - ³⁵	to hold	Maru	hold (a pen) v.	1709.31	Langsu (Luxi) TBL	tsɔi³⁵  | 1709.31		bad concept	994	TBL		1448	tsɔi³⁵	tsɔi³⁵	hold (a pen)	ts ɔ i ³⁵	429332
1928	775	verb	ʈʂʰ o p ⁵⁵	to hold	Xiandao	hold (a pen) v.	1709.29	Achang (Xiandao) TBL	tʂhop⁵⁵  | 1709.29		bad concept	369	TBL		1448	tʂhop⁵⁵	tʂhop⁵⁵	hold (a pen)	ʈʂʰ o p ⁵⁵	429330
1986	1183	noun	kʰ j u - ⁵⁵	the horn (keratinized skin)	Bola	horn	0263.32	Bola (Luxi) TBL	khju⁵⁵  | 0263.32	horn		381	TBL		1393	khju⁵⁵	khju⁵⁵	horn	kʰ j u ⁵⁵	358739
1990	1183	noun	kʰ j u k ³¹	the horn (keratinized skin)	Maru	horn	0263.31	Langsu (Luxi) TBL	khjuk³¹  | 0263.31			381	TBL		1393	khjuk³¹	khjuk³¹	horn	kʰ j u k ³¹	358738
1996	249	noun	m̥ ʐ a ŋ ³¹	the horse	Achang_Longchuan	horse	0268.28	Achang (Longchuan) TBL	m̥ʐaŋ³¹  | 0268.28 | cf. 0761.28	horse		382	TBL		615	m̥ʐaŋ³¹	m̥ʐaŋ³¹	horse	m̥ ʐ a ŋ ³¹	359005
1998	249	noun	m j a ŋ ²¹	the horse	Atsi	horse	0268.30	Atsi [Zaiwa] TBL	mjaŋ²¹  | 0268.30  | cf. 0761.30	horse		382	TBL		615	mjaŋ²¹	mjaŋ²¹	horse	m j a ŋ ²¹	359007
1999	249	noun	m j ɔ̃ ∼ ³¹	the horse	Bola	horse	0268.32	Bola (Luxi) TBL	mjɔ̃³¹  | 0268.32 | cf. 0761.32	horse		382	TBL		615	mjɔ̃³¹	mjɔ̃³¹	horse	m j ɔ̃ ∼ ³¹	359009
2002	249	noun	m j a ŋ ³³	the horse	Lashi	horse	0268.33	Leqi (Luxi) TBL	mjaŋ³³  | 0268.33 | 0761.33			382	TBL		615	mjaŋ³³	mjaŋ³³	horse	m j a ŋ ³³	359010
2003	249	noun	m j ɔ̃ ∼ ³⁵	the horse	Maru	horse	0268.31	Langsu (Luxi) TBL	mjɔ̃³⁵  | 0268.31 | cf. 0761.31			382	TBL		615	mjɔ̃³⁵	mjɔ̃³⁵	horse	m j ɔ̃ ∼ ³⁵	359008
2010	251	noun	- i n ⁵⁵	the house	Achang_Longchuan	house n	0494.28	Achang (Longchuan) TBL	in⁵⁵  | 0494.28	house		383	TBL		1252	in⁵⁵	in⁵⁵	house	i n ⁵⁵	370347
2012	251	noun	j ṵ m ⁵¹	the house	Atsi	house n	0494.30	Atsi [Zaiwa] TBL	ju̱m⁵¹  | 0494.30	house		383	TBL		1252	ju̱m⁵¹	ju̱m⁵¹	house	j ṵ m ⁵¹	370349
2013	251	noun	j a̰ m ⁵⁵	the house	Bola	house n	0494.32	Bola (Luxi) TBL	ja̱m⁵⁵  | 0494.32	house		383	TBL		1252	ja̱m⁵⁵	ja̱m⁵⁵	house	j a̰ m ⁵⁵	370351
2016	251	noun	j ɔ̰ m ³³	the house	Lashi	house n	0494.33	Leqi (Luxi) TBL	jɔ̱m³³  | 0494.33	house		383	TBL		1252	jɔ̱m³³	jɔ̱m³³	house	j ɔ̰ m ³³	370352
2017	251	noun	j a̰ m ³¹	the house	Maru	house n	0494.31	Langsu (Luxi) TBL	ja̱m³¹  | 0494.31	house		383	TBL		1252	ja̱m³¹	ja̱m³¹	house	j a̰ m ³¹	370350
2018	251	noun	- i n ⁵⁵	the house	Xiandao	house n	0494.29	Achang (Xiandao) TBL	in⁵⁵  | 0494.29	house		383	TBL		1252	in⁵⁵	in⁵⁵	house	i n ⁵⁵	370348
2048	774	other	p a k ³⁵	hundred	Achang_Longchuan	hundred	0824.28	Achang (Longchuan) TBL	pak³⁵  | 0824.28	hundred		1078	TBL		1634	pak³⁵	pak³⁵	hundred	p a k ³⁵	387423
2050	1185	other	ʃ o ⁵¹	hundred	Atsi	hundred	0824.30	Atsi [Zaiwa] TBL	ʃo⁵¹  | 0824.30	hundred		1077	TBL		1634	ʃo⁵¹	ʃo⁵¹	hundred	ʃ o ⁵¹	387425
2052	1185	other	j a ⁵⁵	hundred	Bola	hundred	0824.32	Bola (Luxi) TBL	ja⁵⁵  | 0824.32	hundred		385	TBL		1634	ja⁵⁵	ja⁵⁵	hundred	j a ⁵⁵	387427
2056	1185	other	ʃ o̰ ³³	hundred	Lashi	hundred	0824.33	Leqi (Luxi) TBL	(ta³¹ ) ʃo̱³³  | 0824.33	hundred		1077	TBL		1634	(ta³¹) ʃo̱³³	ʃo̱³³	hundred	ʃ o̰ ³³	387428
2058	1185	other	j ɔ ³¹	hundred	Maru	hundred	0824.31	Langsu (Luxi) TBL	jɔ³¹  | 0824.31	hundred		385	TBL		1634	jɔ³¹	jɔ³¹	hundred	j ɔ ³¹	387426
2059	774	other	p a k ³⁵	hundred	Xiandao	hundred	0824.29	Achang (Xiandao) TBL	(tă³¹ ) pak³⁵  | 0824.29	hundred		1078	TBL		1634	(tă³¹) pak³⁵	pak³⁵	hundred	p a k ³⁵	387424
