ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	PROTO
48	n	Ø	a	ɛ̃	a	ɛ̃	a	ɑ̃	Ø	2	a	
49	n	Ø	ṵ	a̰	ṵ	a̰	Ø	Ø	Ø	2	ṵ	
50	n	Ø	a	ɛ̃	a	ə	o	ĩ	a	2	a	
51	n	Ø	ḛ	ṵ	e	a̰	u	u	Ø	2	u	
52	n	i	e	a	ɛː	a	a	ɛ	ɛ	2	a	
53	n	Ø	u	ə	e	ə	i	e	Ø	2	ə	
54	n	ə	ḭ	ḭ	ḭː	ḭ	Ø	Ø	ɤ	2	ḭ	
55	n	o	u	ɔ̰	ɔ̰	a̰	u	Ø	ɔ	2	u	
56	n	u	u	u	uː	a	u	u	u	2	u	
57	n	e	e	a	e	ɛ	a	ɛ	Ø	2	e	
58	n	ɿ	u	u	e	a	i	e	ɿ	2	ɿ	
59	n	u	e	a	əː	a	a	i	ɛ	2	a	
60	n	ɔ	a	a̰	ɑ	ɔ̰	a	ɑ	Ø	2	*a	
61	n	Ø	a	ə̆	o	ə̆	u	ɑ	Ø	2	ə̆	
62	n	u	a	a	o	u	u	e	u	2	u	
63	n	a	i	ɔ	ɛ̰	i	a	ɑ̃	a	2	a	
64	n	a	a̰	i	ḛ	ɔ̆	a	ĩ	Ø	2	a	
65	n	a	i	a	ə̰	a̰	a	i	ɯ	2	a	
66	n	e	ə	ɛ	ə	ø	ə	o	ɛ	2	ə	
67	n	ɿ	o	ɔ	o	ɔ	i	e	o	2	o	
68	n	a	ṵ	ɔ̰	ṵː	a̰	ʊ	ɑ̃	ɔ	2	a	
69	n	o	a	ɔ	ɔ	Ø	o	ũ	o	2	o	
70	n	Ø	i	ḭ	ə̰	Ø	Ø	Ø	Ø	2	i	
71	n	u	o	ø̃	uː	u	o	ũ	u	2	u	
72	n	ă	ŏ	ă	o	ɔ̆	Ø	Ø	ɔ	2	ă	
73	n	ɔ	o̰	a̰	ɔ̰	ɔ̰	a	ɛ	ɔ	2	ɔ	
74	n	ə	i	ɿ	ɿ	i	i	i	ɿ	2	i	
75	n	o	a	ɛ̃	o	ɛ	o	ɛ	o	2	o	
76	n	o	u	a	u	a	ʊ	ɑ	u	1	u	
77	n	i	i	ə	ə̰	a	Ø	e	a	1	i	
78	n	i	i	i	ḭ	i	i	e	i	1	i	
79	n	ɔ	i	i	Ø	a	i	e	a	1	i	
80	n	ə	i	a	ə̰	a	a	i	Ø	1	a	
81	n	Ø	o̰	ɛ̃	ə̰ː	ɛ̰̃	Ø	Ø	Ø	1	o̰	
82	n	a	a	ɛ̰	a̰	ɛ̰	a	ɑ	a	1	a	
83	n	i	i	i	e	a	i	e	Ø	1	i	
84	n	Ø	o	Ø	o	o	a	ɑ	ɔ	1	o	
85	n	a	a	ɛ	aː	ɛ	a	ɑ	a	1	a	
86	n	a	i	u	o	u	ə	o	a	1	a	
87	n	a	Ø	Ø	ḭ	ḭ	i	e	ɛ	1	ḭ	
88	n	Ø	Ø	ɿ	eː	i	i	e	ɿ	1	ɿ	
89	n	Ø	Ø	ø̰	ṵ	ø̰	Ø	Ø	Ø	1	ø̰	
90	n	ɔ	o	a	ŋ	ɔ	a	ɑ	ɔ	1	ɔ	
91	n	e	e	ɛ	ɛː	a	i	e	ɛ	1	e	
92	n	Ø	a̰	a	o̰	ṵ	Ø	Ø	Ø	1	a̰	
93	n	ə	i	a	ə̰ː	a̰	a	i	ɯ	1	i	
94	n	i	i	a	i	a	a	ɛ	i	1	i	
95	n	a	o	a	ɔː	ɔ	a	ɑ	ɔ	1	a	
96	n	ə	i	a	ə̰	a	a	ɛ	ɯ	1	a	
97	n	Ø	a̰	ɔ̰̃	a̰	ɔ̰̃	a	ĩ	a	1	a̰	
98	n	u	u	ɔ	uː	a̰	u	o	u	1	u	
99	n	i	i	a	ə	a	Ø	Ø	i	1	i	
100	n	ɔ	o	ɔ̰	ɔ̰	ɔ̰	Ø	Ø	Ø	1	ɔ̰	
101	n	ə	e	a	eː	i	a	ɑ	ɔ	1	a	
102	n	ɔ	o̰	ɛ̰̃	o̰	ɔ̰	a	ɑ	ɔ	1	ɔ	
103	n	Ø	Ø	ɛ̰̃	aː	ɛ̃	Ø	ɑ̃	Ø	1	ɛ̰̃	
104	n	i	e	a	ɛ	a	Ø	ɑ	ɛ	1	a	
105	n	i	a̰	ṵ	ḛ	a̰	i	e	a	1	i	
106	n	Ø	u	u	ə	ɔ	Ø	Ø	Ø	1	u	
107	n	ə	i	a	ə̰ː	a	a	e	ɤ	1	a	
108	n	i	i	i	e	i	i	e	i	1	i	
109	n	Ø	a	ɛ̃	a̰	a	Ø	Ø	a	1	a	
110	n	Ø	o̰	Ø	Ø	ɔ	ʊ	u	Ø	1	o̰	
111	n	Ø	a̰	ɔ̰̃	a̰	ɔ̃	Ø	Ø	Ø	1	a̰	
112	n	i	ŏ	ə̆	ə̆	ə̆	a	ɑ	a	1	ə̆	
113	n	ɔ	o	a	ɔ̰ː	ɔ	a	ɛ	ɔ	1	ɔ	
114	n	ɔ	ŏ̰	a̰	ɑ̰	ɔ̰	a	a	ă	1	a	
115	n	Ø	i	i	eː	i	i	e	Ø	1	i	
116	n	Ø	i	ɔ	iː	i	Ø	Ø	Ø	1	i	
117	n	i	ŏ	ă	ŏ	ɔ̆	Ø	Ø	Ø	1	ŏ	
118	n	ɔ	o	a	ə̆	ɔ	a	ɑ	ɔ̆	1	ɔ	
119	n	u	u	ø	u	ɔ	u	e	u	1	u	
120	n	Ø	o	u	a	Ø	Ø	Ø	Ø	1	o	
121	n	o	ṵ	ɔ̰	a̰	a̰	u	o	u	1	o	
122	n	u	u	a	u	a	ʊ	ɑ̃	u	1	u	
123	n	u	ṵ	a	ɔ	a	u	õ	u	1	u	
124	n	Ø	i	i	e	i	Ø	e	n	1	i	
125	n	Ø	a̰	ɛ̰̃	a̰	a̰	a	ɪ̃	Ø	1	a̰	
126	n	a	a	i	o	u	ə	o	a	1	a	
127	n	o	a	a	o	ɔ	a	ɑ	o	1	o	
128	n	Ø	u	ə̆	ə̆	ɔ̆	u	õ	Ø	1	u	
129	n	u	a	ɔ̃	a	ɔ̃	Ø	Ø	o	1	a	
130	n	Ø	u	ṵ	o̰	a	Ø	Ø	u	1	u	
131	n	a	Ø	a	i	ɔ	Ø	i	a	1	a	
132	n	o	u	u	ɿ	ɔ	Ø	Ø	u	1	u	
133	n	o	u	ɛ	əː	a	a	ɛ	u	1	u	
134	n	a	ă	a	a	a	a	i	a	1	a	
135	n	i	i	i	e	u	Ø	Ø	i	1	i	
136	n	a	e	ɛ	ɛ̰	ɛ	Ø	Ø	a	1	a	
137	n	a	a	ɛ̃	a̰	ɛ̃	Ø	Ø	Ø	1	a	
138	n	a	u	u	aː	u	ə	Ø	a	1	u	
139	n	Ø	Ø	ɛ̃	ə̰	ɛ̃	Ø	ĩ	Ø	1	ɛ̃	
140	n	i	ṵ	a̰	ɔ̰	a̰	i	e	i	1	i	
141	n	Ø	a̰	ɔ̃	a̰	ɔ̃	Ø	Ø	Ø	1	a̰	
142	n	e	i	ɔ	ɛ	i	Ø	ɑ̃	ɛ	1	i	
143	n	i	i	ə	e	i	i	e	i	1	i	
144	n	e	i	ɛ	ɛ̰	ɛ	a	i	ɛ	1	ɛ	
145	n	a	a̰	ɔ̰̃	a̰ː	ɔ̃	a	ĩ	a	1	a	
146	n	Ø	ḛ	ɔ̰	ṵː	ṵ	ə	o	o	1	o	
147	n	Ø	e	ø	yː	ø	Ø	Ø	Ø	1	ø	
148	n	Ø	o	ə̆	ɔː	ɔ	Ø	Ø	Ø	1	o	
149	n	ə	o̰	ɔ̰	iː	ə	i	i	ɯ	1	ə	
150	n	Ø	ĕ	ə̆	u	ə̆	Ø	Ø	Ø	1	ə̆	
151	n	o	ṵ	ṵ	ə̰	ɔ̰	Ø	Ø	u	1	ṵ	
152	n	ă	ă	a	ə̆	ɔ	aj	ɛ	a	1	ă	
153	n	u	u	ṵ	u	a̰	Ø	u	u	1	u	
154	n	i	a	i	e	a	i	e	a	1	i	
155	n	o	u	u	uː	u	u	u	u	1	u	
156	n	o	ṵ	ɔ̰	ɔ̰	a̰	u	o	u	1	o	
157	n	a	u	a	a	ɔ̃̆	Ø	Ø	ɔ	1	a	
158	n	ə	i	a	ə	a	a	ɛ	ɯ	1	a	
159	n	a	a	ɛ̰	a̰ː	ɛ̰	a	ɑ	a	1	a	
160	n	e	ṵ	a̰	ṵː	a	i	e	i	1	e	
161	n	Ø	a̰	ɔ̰̃	aː	ɔ̃	Ø	Ø	Ø	1	a̰	
162	n	i	u	a	u	a	Ø	ɑ	u	1	u	
163	n	ə	i	a	əː	a	a	e	ɯ	1	a	
164	n	i	i	ɔ̰	ɛ̰	a̰	a	i	i	1	i	
165	n	ɔ	o	a	o̰	ɔ	a	ɑ	ɔ	1	ɔ	
166	n	e	Ø	ɔ̆	ə	ø	Ø	o	ɛ	1	e	
167	n	a	ŏ	ə̆	ə̆	ə̆	a	ɑ	ɔ̆	1	ə̆	
168	n	i	i	ɿ	e	i	Ø	ɑ̃	i	1	i	
169	n	Ø	i	i	i	i	Ø	ẽ	Ø	1	i	
170	n	Ø	o	ə̆	o	ɔ̆	Ø	ɑ	Ø	1	o	
171	n	Ø	a	u	a	ɔ̃	Ø	Ø	ɔ	1	a	
172	n	o	a	a	u	ɔ	a	ɛ	o	1	a	
173	n	Ø	Ø	ə	iː	ə	a	i	Ø	1	ə	
174	n	o	o	ɔ	ɔ̰ː	u	Ø	ɑ	o	1	o	
175	n	a	a	ɔ̃	aː	ɔ̃	a	ĩ	a	1	a	
176	n	ə	i	a	ə̰	a̰	Ø	Ø	ɯ	1	ə	
177	n	Ø	Ø	a	uː	a	ʊ	ɑ	Ø	1	a	
178	n	Ø	Ø	ă	ŏ	ŏ	Ø	Ø	Ø	1	ŏ	
179	n	ɔ	a	ă	ŏ	ɔ̆	Ø	ɑ	ɔ	1	ɔ	
180	n	i	a	i	aː	a	i	e	a	1	i	
181	n	Ø	ṵ	ɔ̰	Ø	ṵ	Ø	Ø	Ø	1	ṵ	
182	n	a	a̰	ɔ̃	a	ɔ̃	Ø	Ø	a	1	a	
183	n	i	ṵ	a̰	ɔ̰	a̰	i	ẽ	i	1	i	
184	n	ə	i	ɔ̰	ḭː	ḭ	Ø	Ø	a	1	ə	
185	n	ɔ	o	a	ə̆	o	a	ɑ	ɔ	1	ɔ	
186	n	a	e	ɛ	ɛː	ɛ	i	i	a	1	a	
187	n	a	ḭ	a̰	ə̰	a̰	a	ɑ	ɔ	1	a	
188	n	Ø	u	Ø	əː	u	Ø	Ø	Ø	1	u	
189	n	ə	ḭ	ḭ	ḭ	ḭ	a	ɛ	i	1	ḭ	
1	N	-	-	u	-	u	-	u	-	12	-	
2	N	u	u	u	u	-	-	-	u	12	u	
3	N	i	-	Ø	-	Ø	Ø	Ø	i	2	i	
4	N	-	-	-	i	-	-	-	-	8	-	
5	N	-	i	i	i	-	-	-	Ø	7	-	
6	N	i	i	i	i	-	-	-	i	2	i	
7	N	u	i	-	u	-	-	-	u	4	-	
8	N	u	i	i	-	i	-	Ø	u	4	i	
9	N	a	-	-	Ø	-	-	-	-	2	-	
10	N	-	Ø	i	-	i	-	-	-	3	-	
11	N	-	i	i	-	-	-	-	-	3	-	
12	N	u	-	i	-	-	-	-	-	2	-	
13	N	i	i	i	-	i	Ø	Ø	i	2	i	
14	N	-	-	i	-	i	Ø	-	-	2	-	
15	N	-	-	-	-	u	-	-	-	5	-	
16	N	-	-	-	i	-	-	i	-	2	-	
17	N	-	i	-	i	-	-	-	i	2	-	
18	N	i	i	-	-	i	-	-	i	3	i	
19	N	u	u	-	u	-	-	-	u	2	u	
20	N	i	u	u	u	-	-	-	i	2	u	
21	N	-	-	-	Ø	-	-	-	i	1	-	
22	N	-	-	i	i	-	-	-	-	1	-	
