ID	CONTEXT	Achang_Longchuan	Atsi	Bola	Lashi	Maru	Old_Burmese	Rangoon	Xiandao	FREQUENCY	INFERRED	PROTO	COGNATES
55	n	ə	ḭ	ḭ	ḭː	ḭ	Ø	Ø	ɤ	2	ḭ		133, 187
56	n	u	a	a	o	u	u	e	u	2	u		321, 414
57	n	ɿ	u	u	e	a	i	e	ɿ	2	ɿ		27, 164
58	n	o	ṵ	ɔ̰	ɔ̰	a̰	u	o	u	2	o		493, 758
59	n	Ø	u	ə	e	ə	i	e	Ø	2	ə		807, 155
60	n	a	a̰	i	ḛ	ɔ̆	a	ĩ	Ø	2	a		536, 675
61	n	a	i	ɔ	ɛ̰	i	a	ɑ̃	a	2	a		734, 554
62	n	i	e	a	ɛː	a	a	ɛ	ɛ	2	a		303, 437
63	n	Ø	a	ɛ̃	a	ə	o	ĩ	a	2	a		220, 125
64	n	Ø	a	ə̆	o	ə̆	u	ɑ	Ø	2	ə̆		179, 15
65	n	a	i	a	ə̰	a̰	a	i	ɯ	2	a		175, 120
66	n	u	ṵ	a	ɔ̰	a	a	i	ɛ	2	a		453, 387
67	n	a	u	a	a	ɔ̃̆	ʊ	ɑ̃	ɔ	2	a		237, 282
68	n	Ø	i	ḭ	ə̰	Ø	Ø	Ø	Ø	2	*ḭ		128, 134
69	n	ə	i	ɿ	ɿ	i	i	i	ɿ	2	i		286, 266
70	n	ɔ	o̰	a̰	ɔ̰	ɔ̰	a	ɛ	ɔ	2	ɔ		80, 117
71	n	u	o	ø̃	uː	u	o	ũ	u	2	u		715, 59
72	n	e	Ø	ɔ̆	ə	ø	ə	o	ɛ	2	ə		61, 66
73	n	o	a	ɔ	ĭ	u	o	ɛ	o	2	o		541, 26
74	n	ɿ	o	ɔ	o	ɔ	i	e	o	2	o		800, 310
75	n	i	i	ə	ə̰	a	Ø	e	a	1	i		502
76	n	i	a	i	e	a	i	e	a	1	i		199
77	n	i	i	a	ə	a	Ø	Ø	i	1	*i		491
78	n	ɔ	i	i	Ø	a	i	e	a	1	i		161
79	n	u	u	a	u	a	ʊ	ɑ̃	u	1	*a		203
80	n	o	a	a	u	ɔ	a	ɛ	o	1	a		367
81	n	Ø	a̰	a	o̰	ṵ	Ø	Ø	Ø	1	a̰		226
82	n	a	Ø	Ø	ḭ	ḭ	i	e	ɛ	1	ḭ		275
83	n	ə	i	a	ə	a	a	ɛ	ɯ	1	*i		657
84	n	Ø	i	ɔ	iː	i	Ø	Ø	Ø	1	i		87
85	n	i	a	i	aː	a	i	e	a	1	i		428
86	n	Ø	a̰	ɔ̃	a̰	ɔ̃	Ø	Ø	Ø	1	a̰		842
87	n	o	ṵ	ṵ	ə̰	ɔ̰	Ø	Ø	u	1	ṵ		21
88	n	Ø	e	a	əː	a	Ø	Ø	Ø	1	a		705
89	n	ɔ	o̰	ɛ̰̃	o̰	ɔ̰	a	ɑ	ɔ	1	ɔ		114
90	n	a	e	ɛ	ɛː	ɛ	i	i	a	1	a		328
91	n	Ø	Ø	ø̰	ṵ	ø̰	Ø	Ø	Ø	1	ø̰		613
92	n	Ø	u	ṵ	o̰	a	Ø	Ø	u	1	u		452
93	n	Ø	o	u	a	Ø	Ø	Ø	Ø	1	o		151
94	n	Ø	ṵ	ɔ̰	ṵː	a̰	Ø	Ø	ɔ	1	ṵ		766
95	n	Ø	i	i	i	i	Ø	ẽ	Ø	1	i		210
96	n	ɔ	o	ɔ̰	ɔ̰	ɔ̰	Ø	Ø	Ø	1	ɔ̰		229
97	n	a	i	u	o	u	ə	o	a	1	a		222
98	n	Ø	ḛ	ɔ̰	ṵː	ṵ	ə	o	o	1	o		64
99	n	Ø	ṵ	ɔ̰	Ø	ṵ	Ø	Ø	Ø	1	ṵ		96
100	n	Ø	e	ø	yː	ø	Ø	Ø	Ø	1	ø		99
101	n	Ø	a	Ø	ɔ	Ø	Ø	ũ	Ø	1	a		680
102	n	Ø	o	ə̆	o	ɔ̆	Ø	ɑ	Ø	1	o		484
103	n	ə	i	a	ə̰	a	a	i	Ø	1	*i/ə̰		215
