Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
pj	p j	i m	U+0070 U+0020 U+006a	12	Atsi,Maru,Bola,Lashi,Hpun
kʰu	kʰ u	i m	U+006b U+02b0 U+0020 U+0075	9	Lashi,Bola,Atsi,Achang,Hpun
bu	b u	i m	U+0062 U+0020 U+0075	8	Lashi,Atsi,Achang
du	d u	i m	U+0064 U+0020 U+0075	6	Atsi,Achang,Lashi
tʃʰu	t ʃʰu	i m	U+0074 U+0020 U+0283 U+02b0 U+0075	5	Lashi,Achang,Atsi
xj	x j	i m	U+0078 U+0020 U+006a	5	Achang
mu	m u	i m	U+006d U+0020 U+0075	5	Hpun,Atsi
su	s u	i m	U+0073 U+0020 U+0075	5	Bola,Atsi,Achang
dʒu	d ʒu	i m	U+0064 U+0020 U+0292 U+0075	4	Lashi,Achang
pu	p u	i m	U+0070 U+0020 U+0075	4	Achang,Bola
ʃw	ʃ w	i m	U+0283 U+0020 U+0077	4	Hpun
lu	l u	i m	U+006c U+0020 U+0075	4	Atsi,Achang,Bola
gu	g u	i m	U+0067 U+0020 U+0075	4	Lashi,Achang
dzu	d zu	i m	U+0064 U+0020 U+007a U+0075	4	Atsi,Achang
tʰj	tʰ j	i m	U+0074 U+02b0 U+0020 U+006a	3	Achang
hu	h u	i m	U+0068 U+0020 U+0075	2	Atsi,Achang
ʃj	ʃ j	i m	U+0283 U+0020 U+006a	2	Lashi,Maru
nju	n ju	i m	U+006e U+0020 U+006a U+0075	2	Atsi
pẹ	p ẹ	i m	U+0070 U+0020 U+1eb9	2	Maru
ch	c h	i m	U+0063 U+0020 U+0068	2	Hpun
dʒj	d ʒj	i m	U+0064 U+0020 U+0292 U+006a	2	Achang
tj	t j	i m	U+0074 U+0020 U+006a	2	Achang
mju	m ju	i m	U+006d U+0020 U+006a U+0075	2	Atsi
cʰw	cʰ w	i m	U+0063 U+02b0 U+0020 U+0077	1	Hpun
xw	x w	i m	U+0078 U+0020 U+0077	1	Hpun
xr	x r	i m	U+0078 U+0020 U+0072	1	Hpun
ʃu	ʃ u	i m	U+0283 U+0020 U+0075	1	Hpun
ɂj	ɂ j	i m	U+0242 U+0020 U+006a	1	Atsi
fu	f u	i m	U+0066 U+0020 U+0075	1	Lashi
sʰu	sʰ u	i m	U+0073 U+02b0 U+0020 U+0075	1	Hpun
kʰju	kʰ ju	i m	U+006b U+02b0 U+0020 U+006a U+0075	1	Atsi
nu	n u	i m	U+006e U+0020 U+0075	1	Bola
tʃʰj	t ʃʰj	i m	U+0074 U+0020 U+0283 U+02b0 U+006a	1	Achang
tʰw	tʰ w	i m	U+0074 U+02b0 U+0020 U+0077	1	Hpun
xu	x u	i m	U+0078 U+0020 U+0075	1	Bola
vɹ	v ɹ	i m	U+0076 U+0020 U+0279	1	Hpun
ŋj	ŋ j	i m	U+014b U+0020 U+006a	1	Hpun
(ttst	( ttst	i m	U+0028 U+0020 U+0074 U+0074 U+0073 U+0074	1	Lashi
pʰu	pʰ u	i m	U+0070 U+02b0 U+0020 U+0075	1	Atsi
bẹ	b ẹ	i m	U+0062 U+0020 U+1eb9	1	Maru
lj	l j	i m	U+006c U+0020 U+006a	1	Achang
tʰu	tʰ u	i m	U+0074 U+02b0 U+0020 U+0075	1	Atsi
tʃ	t ʃ	i m	U+0074 U+0020 U+0283	1	Lashi
lӧ	l ӧ	i m	U+006c U+0020 U+04e7	1	Maru
pʰӧ	pʰ ӧ	i m	U+0070 U+02b0 U+0020 U+04e7	1	Maru
hj	h j	i m	U+0068 U+0020 U+006a	1	Achang
tʃʰi	t ʃʰi	i m	U+0074 U+0020 U+0283 U+02b0 U+0069	1	Lashi
hẹ	h ẹ	i m	U+0068 U+0020 U+1eb9	1	Lashi
mẹ	m ẹ	i m	U+006d U+0020 U+1eb9	1	Lashi
tu	t u	i m	U+0074 U+0020 U+0075	1	Bola
ŋw	ŋ w	i m	U+014b U+0020 U+0077	1	Bola
ʃi	ʃ i	i m	U+0283 U+0020 U+0069	1	Lashi
ŋu	ŋ u	i m	U+014b U+0020 U+0075	1	Achang
