NUMBER	GLOSS	BURMISH_GLOSS	CONCEPTICON_ID	TBL_ID	HPUN_ID	HPUN_GLOSS
174	the seed	the seed	714	0405	586	seed
175	seven	seven	1704	0803	594	seven
176	sharp	sharp	1396	1020	597	sharp
177	the sheep	the sheep	1331	0275	0	???
178	to shoot (an arrow)	to shoot (an arrow)	1172	1611	600	shoot (with bow or gun)
179	short	short	1645	0973	602	short
180	the shoulder	the shoulder	1482	0090	603	shoulder
181	shy	shy	487	1365	0	???
182	the sickle	the sickle	341	0624	0	???
183	to sing	to sing	1261	1184	0	???
184	six	six	1703	0802	615	six
185	the skin	the skin	763	0120	616	skin
186	the sky	the sky	1732	0001	617	sky
187	to sleep	to sleep	1585	1646	619	sleep
188	small	small	1246	0965	621	small
189	to smell (perceive odor) [transitive]	to smell (perceive odor) [transitive]	1586	1707	622	smell
190	the smoke	the smoke	778	0019	624	smoke (cp. Fire)
191	smooth	smooth	1234	1037	0	???
192	the snake	the snake	730	0347	626	snake
193	the snow	the snow	784	0012	0	???
194	soft	soft	1856	1035	630	soft
195	the son	the son	1620	0220	633	son (see Child)
196	the sparrow	the sparrow	1854	0336	639	sparrow
197	the spider	the spider	843	0361	0	???
198	to spit	to spit	1440	1688	0	???
199	to stand	to stand	1442	1784	646	stand
200	the star	the star	1430	0005	647	star
201	to steal	to steal	713	1686	649	steal
202	the stick	the stick	1295	0586	???	???
203	the stone (a piece of)	???	857	0043	654	stone
204	straight	straight	1404	1003	657	straight
205	the sun	the sun	1343	0002	670	sun
206	the tail	the tail	1220	0267	677	tail
207	ten	ten	1515	0806	684	ten (= 'one ten')
208	that	that	78	0947	688	that (cp. This)
209	there	there	1937	0950	0	???
210	thick	thick	1244	0980	689	thick
211	the thigh	the thigh	800	0100	691	thigh
212	thin (object)	this	2307	0981	693	thin (of things)
213	to think (reflect)	to think (reflect)	1415	1726	0	???
214	this	this	1214	0942	694	this
215	thou [second person singular]	thou [second person singular]	1215	0931	788	you / thou
216	three	three	492	0799	699	three
217	to throw	to throw	1456	1687	702	throw (e.g. stone)
218	the thunder	the thunder	1150	0008	704	thunder (cp. Sky)
219	the tiger	the tiger	846	0304	707	tiger
220	today	today	1283	0738	0	???
221	tomorrow	tomorrow	1329	0742	0	???
222	the tongue	the tongue	1205	0139	713	tongue
223	the tooth (front)	the tooth (front)	1380	0137	714	tooth
224	the tree	the tree	906	0372	716	tree
225	twenty	twenty	1710	0816	0	???
226	two	two	1498	0798	725	two
227	to vomit	to vomit	1278	1535	741	vomit / poisoned, be
228	to walk	to walk	1443	1815	0	???
229	the water	the water	948	0047	750	water
230	we [first person plural inclusive]	we [first person plural inclusive]	1131	0930	0	???
231	wet	wet	1726	1029	759	wet
232	what	what	1236	0954	0	???
233	the wheat	the wheat	1077	0410	760	wheat
234	where	where	1237	0955	0	???
235	white	white	1335	1006	761	white
236	who	who	1235	0953	763	who
237	the wife	the wife	1199	0248	767	wife (cp. Woman)
238	the wind	the wind	960	0009	771	wind / air
239	the wing	the wing	1257	0298	772	wing
240	to wipe	to wipe	1454	1163	773	wipe
241	the wolf	to pull	522	0324	0	???
242	the woman	the woman	962	0174	775	woman
243	the wood (material)	the wood (material)	1803	0511	777	wood
244	to sow (broadcast, scatter seeds)	???	748	1597	0	???
245	the year	the year	1226	0777	784	year
246	yellow	yellow	1424	1008	785	yellow
247	yesterday	yesterday	1174	0739	0	???
248	you [second person plural]	you [second person plural]	1213	0933	0	???
249	young	young	1207	1059	0	???
250	the shit	???	676	0151	0	???
