NUMBER	GLOSS	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	DEFINITION
178	to shoot (an arrow)	action	1611	1172	To kill a person or an animal with a shot from a firearm.
179	short	characterization, quantity	973	1645	Small in length by comparison.
180	the shoulder	body	90	1482	One side of the top of the torso, where an arm attaches or joins.
181	shy	characterization, character	1365	487	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.
182	the sickle	object, tool	624	341	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture
183	to sing	action	1184	1261	To produce harmonious sounds with one's voice.
184	six	number	802	1703	The cardinal number occurring after five and before seven, represented in Roman numerals as VI, in Arabic numerals as 6.
185	the skin	body	120	763	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.
186	the sky	nature, geography	1	1732	The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.
187	to sleep	action	1646	1585	To rest in a state of decreased consciousness and reduced metabolism.
188	small	characterization, quantity	965	1246	Not large or big; small in size.
189	to smell (perceive odor) [transitive]	action	1707	1586	To perceive the presence of molecules in the air by inhaling them through the nose.
190	the smoke	nature	19	778	An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.
191	smooth	characterization, form	1037	1234	Not rough; having a surface texture that lacks friction.
192	the snake	animal	347	730	Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.
193	the snow	nature, object	12	784	The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.
194	soft	characterisation, form	1035	1856	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).
195	the son	kinship	220	1620	One's male child.
196	the sparrow	animal	336	1854	A small song bird, in the family Passeridae.
197	the spider	animal	361	843	Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.
198	to spit	action	1688	1440	To forcefully evacuate saliva from the mouth.
199	to stand	action	1784	1442	To be upright in an erect position, supported by the feet.
200	the star	nature, geography	5	1430	A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.
201	to steal	action	1686	713	To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.
202	the stick	object, tool	586	1295	A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.
203	the stone (a piece of)	nature, substance	0043	857	A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.
204	straight	characterization, form	1003	1404	Not crooked or bent; having a constant direction throughout its length.
205	the sun	object, geography	2	1343	The particular star at the centre of our solar system, from which the Earth gets light and heat.
