ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
1302	Achang	Nishi Achang	approximately	244	ñeɂ³⁵	ñ eɂ ³⁵	ɲ e ʔ ³⁵	i n c t	244
1303	Atsi	Nishi Zaiwa/Atsi	approximately	244	-mjọ⁵⁵	- mj ọ ⁵⁵	+ m j o̰ ⁵⁵	+ i m n t	244
931	Maru	Nishi Langsu/Maru	ask	174	mjik⁵⁵	mj ik ⁵⁵	m j i k ⁵⁵	i m n c t	174
932	Xiandao	Nishi Xiandao	ask	174	ni³¹	n i ³¹	n i ³¹	i n t	174
933	Lashi	Nishi Leqi/Lashi	ask	174	mje:i³³	mj e:i ³³	m j e: i ³³	i m n nn t	174
934	Bola	Nishi Bola	ask	174	məi³¹	m əi ³¹	m ə i ³¹	i n nn t	174
935	Achang	Nishi Achang	ask	174	ñi³¹	ñ i ³¹	ɲ i ³¹	i n t	174
936	Atsi	Nishi Zaiwa/Atsi	ask	174	mji²¹	mj i ²¹	m j i ²¹	i m n t	174
1661	Maru	Nishi Langsu/Maru	back up; retreat	316	tsat³¹	ts at ³¹	ts a t ³¹	i n c t	315
1662	Bola	Nishi Bola	back up; retreat	316	tsɔt³¹	ts ɔt ³¹	ts ɔ t ³¹	i n c t	315
1663	Atsi	Nishi Zaiwa/Atsi	back up; retreat	316	tsut²¹	tsu t ²¹	ts u t ²¹	i m i t	315
1069	Maru	Nishi Langsu/Maru	bamboo	198	vɔ³⁵	v ɔ ³⁵	v ɔ ³⁵	i n t	198
1070	Xiandao	Nishi Xiandao	bamboo	198	o³¹	o ³¹	o ³¹	n t	198
1071	Lashi	Nishi Leqi/Lashi	bamboo	198	wo³³	w o ³³	w o ³³	m n t	198
1072	Bola	Nishi Bola	bamboo	198	va³¹	v a ³¹	v a ³¹	i n t	198
1073	Achang	Nishi Achang	bamboo	198	o³¹	o ³¹	o ³¹	n t	198
1074	Atsi	Nishi Zaiwa/Atsi	bamboo	198	va²¹	v a ²¹	v a ²¹	i n t	198
625	Maru	Nishi Langsu/Maru	bamboo blower	117	-pjạuŋ̣̃³⁵	- pj ạuŋ̣̃ ³⁵	+ p j a̰ u ŋ ³⁵	+ i m n nn c t	117
626	Lashi	Nishi Leqi/Lashi	bamboo blower	117	-pjụŋ⁵⁵	- pj ụŋ ⁵⁵	+ p j ṵ ŋ ⁵⁵	+ i m n c t	117
627	Bola	Nishi Bola	bamboo blower	117	-pjạuŋ̣̃³⁵	- pj ạuŋ̣̃ ³⁵	+ p j a̰ u ŋ ³⁵	+ i m n nn c t	117
821	Maru	Nishi Langsu/Maru	bamboo steamer	154	pauŋ³⁵	p auŋ ³⁵	p a u ŋ ³⁵	i n nn c t	154
