ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
588	Lashi	Nishi Leqi/Lashi	blow(nose)	110	khja:u⁵³	khj a:u ⁵³	kʰ j a: u ⁵³	i m n nn t	110
589	Bola	Nishi Bola	blow(nose)	110	khju³⁵	khju ³⁵	kʰ ju ³⁵	i m t	110
590	Achang	Nishi Achang	blow(nose)	110	xʐauɂ³¹	xʐ auɂ ³¹	xʐ a u ʔ ³¹	i n nn c t	110
591	Atsi	Nishi Zaiwa/Atsi	blow(nose)	110	khjui²¹	khju i ²¹	kʰ ju i ²¹	i m n t	110
186	Maru	Nishi Langsu/Maru	boat	36	lạ³¹	l ạ ³¹	l a̰ ³¹	i n t	36
187	Xiandao	Nishi Xiandao	boat	36	xɤ⁵⁵	x ɤ ⁵⁵	x ɤ ⁵⁵	i n t	36
188	Bola	Nishi Bola	boat	36	lị⁵⁵	l ị ⁵⁵	l ḭ ⁵⁵	i n t	36
189	Achang	Nishi Achang	boat	36	xə⁵⁵	x ə ⁵⁵	x ə ⁵⁵	i n t	36
190	Atsi	Nishi Zaiwa/Atsi	boat	36	lại⁵¹	l ại ⁵¹	l a̰ i ⁵¹	i n nn t	36
731	Maru	Nishi Langsu/Maru	body hair	137	-muk⁵⁵	- mu k ⁵⁵	+ m u k ⁵⁵	+ i m i t	137
732	Xiandao	Nishi Xiandao	body hair	137	mui³¹	mu i ³¹	m u i ³¹	i m n t	137
733	Lashi	Nishi Leqi/Lashi	body hair	137	-mou⁵⁵	- m ou ⁵⁵	+ m o u ⁵⁵	+ i n nn t	137
734	Bola	Nishi Bola	body hair	137	-mau³⁵	- m au ³⁵	+ m a u ³⁵	+ i n nn t	137
735	Achang	Nishi Achang	body hair	137	-mui³¹	- mu i ³¹	+ m u i ³¹	+ i m n t	137
736	Atsi	Nishi Zaiwa/Atsi	body hair	137	-mau⁵⁵	- m au ⁵⁵	+ m a u ⁵⁵	+ i n nn t	137
1194	Maru	Nishi Langsu/Maru	bolt (door)	223	kjɔ̣⁵⁵	kj ɔ̣ ⁵⁵	k j ɔ̰ ⁵⁵	i m n t	223
1195	Lashi	Nishi Leqi/Lashi	bolt (door)	223	kja:ŋ⁵³	kj a:ŋ ⁵³	k j a: ŋ ⁵³	i m n c t	223
1196	Atsi	Nishi Zaiwa/Atsi	bolt (door)	223	kjaŋ⁵⁵	kj aŋ ⁵⁵	k j a ŋ ⁵⁵	i m n c t	223
1016	Maru	Nishi Langsu/Maru	bone	189	-ɣuk⁵⁵	- ɣ uk ⁵⁵	+ ɣ u k ⁵⁵	+ i n c t	189
1017	Xiandao	Nishi Xiandao	bone	189	-ʐau³¹	- ʐ au ³¹	+ ʐ a u ³¹	+ i n nn t	189
1018	Lashi	Nishi Leqi/Lashi	bone	189	-jou³³	- j ou ³³	+ j o u ³³	+ m n nn t	189
1019	Bola	Nishi Bola	bone	189	-u³¹	- u ³¹	+ u ³¹	+ n t	189
1020	Achang	Nishi Achang	bone	189	-ʐau³¹	- ʐ au ³¹	+ ʐ a u ³¹	+ i n nn t	189
1021	Atsi	Nishi Zaiwa/Atsi	bone	189	-vui²¹	- vu i ²¹	+ v u i ²¹	+ i m n t	189
656	Maru	Nishi Langsu/Maru	borrow (money)	124	tʃịk⁵⁵	tʃ ịk ⁵⁵	tʃ ḭ k ⁵⁵	i n c t	124
657	Lashi	Nishi Leqi/Lashi	borrow (money)	124	tʃẹ:i⁵⁵	tʃẹ: i ⁵⁵	tʃ ḛ: i ⁵⁵	i m n t	124
658	Bola	Nishi Bola	borrow (money)	124	tʃị³⁵	tʃ ị ³⁵	tʃ ḭ ³⁵	i n t	124
659	Atsi	Nishi Zaiwa/Atsi	borrow (money)	124	tʃi²¹	tʃ i ²¹	tʃ i ²¹	i n t	124
1040	Maru	Nishi Langsu/Maru	bow	193	la³⁵	l a ³⁵	l a ³⁵	i n t	193
1041	Xiandao	Nishi Xiandao	bow	193	l̥ai³⁵	l̥ ai ³⁵	l̥ a i ³⁵	i n nn t	193
1042	Lashi	Nishi Leqi/Lashi	bow	193	la:i³³	l a:i ³³	l a: i ³³	i n nn t	193
1043	Bola	Nishi Bola	bow	193	li³¹	li ³¹	l i ³¹	i m t	193
1044	Atsi	Nishi Zaiwa/Atsi	bow	193	lai²¹	l ai ²¹	l a i ²¹	i n nn t	193
1410	Maru	Nishi Langsu/Maru	bowl	268	khuk⁵⁵	khu k ⁵⁵	kʰ u k ⁵⁵	i m i t	267
1411	Xiandao	Nishi Xiandao	bowl	268	xoɂ⁵⁵	x oɂ ⁵⁵	x o ʔ ⁵⁵	i n c t	267
1412	Lashi	Nishi Leqi/Lashi	bowl	268	khuɂ⁵⁵	kh uɂ ⁵⁵	kʰ u ʔ ⁵⁵	i n c t	267
1413	Bola	Nishi Bola	bowl	268	khɔɂ⁵⁵	kh ɔɂ ⁵⁵	kʰ ɔ ʔ ⁵⁵	i n c t	267
1414	Achang	Nishi Achang	bowl	268	-xoɂ⁵⁵	- x oɂ ⁵⁵	+ x o ʔ ⁵⁵	+ i n c t	267
1415	Atsi	Nishi Zaiwa/Atsi	bowl	268	khoɂ⁵⁵	kh oɂ ⁵⁵	kʰ o ʔ ⁵⁵	i n c t	267
1475	Maru	Nishi Langsu/Maru	branch, twig	280	-kɔ̣ɂ⁵⁵	- k ɔ̣ɂ ⁵⁵	+ k ɔ̰ ɂ ⁵⁵	+ i n c t	279
1476	Xiandao	Nishi Xiandao	branch, twig	280	-xɔɂ⁵⁵	- x ɔɂ ⁵⁵	+ x ɔ ʔ ⁵⁵	+ i n c t	279
1477	Lashi	Nishi Leqi/Lashi	branch, twig	280	-kɔ̣ɂ⁵⁵	- k ɔ̣ɂ ⁵⁵	+ k ɔ̰ ɂ ⁵⁵	+ i n c t	279
1478	Bola	Nishi Bola	branch, twig	280	-kạ̣̣ɂ⁵⁵	- k ạ̣̣ɂ ⁵⁵	+ k a̰ ʔ ⁵⁵	+ i n c t	279
1688	Atsi	Nishi Zaiwa/Atsi	break, smash	322	koɂ²¹	k oɂ ²¹	k o ʔ ²¹	i n c t	321
897	Maru	Nishi Langsu/Maru	break, snap (vi)	168	kjuk⁵⁵	kju k ⁵⁵	k j u k ⁵⁵	i m n i t	168
898	Xiandao	Nishi Xiandao	break, snap (vi)	168	kʐau³¹	kʐ au ³¹	kʐ a u ³¹	i n nn t	168
899	Lashi	Nishi Leqi/Lashi	break, snap (vi)	168	kja:u³³	kj a:u ³³	k j a: u ³³	i m n nn t	168
900	Bola	Nishi Bola	break, snap (vi)	168	kju³¹	kju ³¹	k j u ³¹	i m n t	168
901	Achang	Nishi Achang	break, snap (vi)	168	kʐau³¹	kʐ au ³¹	kʐ a u ³¹	i n nn t	168
902	Atsi	Nishi Zaiwa/Atsi	break, snap (vi)	168	kjui²¹	kju i ²¹	k j u i ²¹	i m n n t	168
1533	Xiandao	Nishi Xiandao	breath, life	292	-sak⁵⁵	- s ak ⁵⁵	+ s a k ⁵⁵	+ i n c t	291
1534	Lashi	Nishi Leqi/Lashi	breath, life	292	-sạk⁵⁵	- s ạk ⁵⁵	+ s a̰ k ⁵⁵	+ i n c t	291
1535	Achang	Nishi Achang	breath, life	292	-sak⁵⁵	- s ak ⁵⁵	+ s a k ⁵⁵	+ i n c t	291
233	Maru	Nishi Langsu/Maru	bridge	45	tsɛ̃³¹	ts ɛ̃ ³¹	ts ɛ̃ ∼ ³¹	i n c t	45
234	Xiandao	Nishi Xiandao	bridge	45	cam⁵⁵	c am ⁵⁵	c/ts a m ⁵⁵	i n c t	45
235	Lashi	Nishi Leqi/Lashi	bridge	45	tsam³¹	ts am ³¹	ts a m ³¹	i n c t	45
236	Bola	Nishi Bola	bridge	45	tsɛ̃⁵⁵	ts ɛ̃ ⁵⁵	ts ɛ̃ ∼ ⁵⁵	i n c t	45
237	Achang	Nishi Achang	bridge	45	tɕam⁵⁵	tɕ am ⁵⁵	tɕ a m ⁵⁵	i m n c t	45
238	Atsi	Nishi Zaiwa/Atsi	bridge	45	tsam⁵¹	ts am ⁵¹	ts a m ⁵¹	i n c t	45
548	Maru	Nishi Langsu/Maru	buckle up, fasten	103	tʃhui³⁵	tʃhu i ³⁵	tʃʰ u i ³⁵	i m n t	103
549	Xiandao	Nishi Xiandao	buckle up, fasten	103	tshi³¹	tsh i ³¹	tsʰ i ³¹	i n t	103
550	Lashi	Nishi Leqi/Lashi	buckle up, fasten	103	tʃhy:⁵⁵	tʃh y: ⁵⁵	tʃʰ y: ⁵⁵	i n t	103
551	Bola	Nishi Bola	buckle up, fasten	103	tʃhui³⁵	tʃhu i ³⁵	tʃʰ u i ³⁵	i m n t	103
552	Achang	Nishi Achang	buckle up, fasten	103	tshe³¹	tsh e ³¹	tsʰ e ³¹	i n t	103
999	Maru	Nishi Langsu/Maru	buffalo	186	-lɔi³⁵	- l ɔi ³⁵	+ l ɔ i ³⁵	+ i n nn t	186
1000	Xiandao	Nishi Xiandao	buffalo	186	-lui³¹	- lu i ³¹	+ l u i ³¹	+ i m n t	186
1001	Lashi	Nishi Leqi/Lashi	buffalo	186	-lə³³	- l ə ³³	+ l ə ³³	+ i n t	186
1002	Bola	Nishi Bola	buffalo	186	-lui³¹	- lu i ³¹	+ l u i ³¹	+ i m n t	186
1003	Atsi	Nishi Zaiwa/Atsi	buffalo	186	-lui²¹	- lu i ²¹	+ l u i ²¹	+ i m n t	186
1304	Maru	Nishi Langsu/Maru	burn grass	245	ŋạ⁵⁵	ŋ ạ ⁵⁵	ŋ a̰ ⁵⁵	i n t	245
1305	Xiandao	Nishi Xiandao	burn grass	245	n̥ɛ³⁵	n̥ ɛ ³⁵	n̥ ɛ ³⁵	i n t	245
1306	Lashi	Nishi Leqi/Lashi	burn grass	245	ŋɛ̣̣⁵⁵	ŋ ɛ̣̣ ⁵⁵	ŋ ɛ̰ ⁵⁵	i n t	245
1307	Bola	Nishi Bola	burn grass	245	ŋjɛ³⁵	ŋj ɛ ³⁵	ŋ j ɛ ³⁵	i m n t	245
1308	Achang	Nishi Achang	burn grass	245	ŋ̊eɂ⁵⁵	ŋ̊ eɂ ⁵⁵	ŋ̊ e ʔ ⁵⁵	i n c t	245
1309	Atsi	Nishi Zaiwa/Atsi	burn grass	245	ŋjẹ⁵⁵	ŋ jẹ ⁵⁵	ŋ j ḛ ⁵⁵	i m n t	245
1536	Maru	Nishi Langsu/Maru	bury	293	ŋjạp⁵⁵	ŋj ạp ⁵⁵	ŋ j a̰ p ⁵⁵	i m n c t	292
1537	Xiandao	Nishi Xiandao	bury	293	m̥ʐɔp⁵⁵	m̥ʐ ɔp ⁵⁵	m̥ʐ ɔ p ⁵⁵	i n c t	292
1538	Lashi	Nishi Leqi/Lashi	bury	293	ŋjụ:p⁵⁵	ŋj ụ:p ⁵⁵	ŋ j ṵ: p ⁵⁵	i m n c t	292
1539	Bola	Nishi Bola	bury	293	ŋjạp⁵⁵	ŋj ạp ⁵⁵	ŋ j a̰ p ⁵⁵	i m n c t	292
1540	Achang	Nishi Achang	bury	293	m̥ʐop⁵⁵	m̥ʐ op ⁵⁵	m̥ʐ o p ⁵⁵	i n c t	292
1541	Atsi	Nishi Zaiwa/Atsi	bury	293	mjụp⁵⁵	mj ụp ⁵⁵	m j ṵ p ⁵⁵	i m n c t	292
424	Maru	Nishi Langsu/Maru	buy	80	vai³¹	v ai ³¹	v a i ³¹	i n nn t	80
425	Xiandao	Nishi Xiandao	buy	80	ui⁵⁵	ui ⁵⁵	u i ⁵⁵	n nn t	80
426	Lashi	Nishi Leqi/Lashi	buy	80	ɣə:³¹	ɣ ə: ³¹	ɣ ə: ³¹	i n t	80
427	Bola	Nishi Bola	buy	80	vɛ⁵⁵	v ɛ ⁵⁵	v ɛ ⁵⁵	i n t	80
428	Achang	Nishi Achang	buy	80	oi⁵⁵	oi ⁵⁵	o i ⁵⁵	n nn t	80
429	Atsi	Nishi Zaiwa/Atsi	buy	80	vui⁵¹	vu i ⁵¹	v u i ⁵¹	i m n t	80
318	Maru	Nishi Langsu/Maru	cane, vine	60	nɔi³¹	n ɔi ³¹	n ɔ i ³¹	i n nn t	60
319	Xiandao	Nishi Xiandao	cane, vine	60	-nui⁵⁵	- nu i ⁵⁵	+ n u i ⁵⁵	+ i m n t	60
320	Bola	Nishi Bola	cane, vine	60	nø⁵⁵	n ø ⁵⁵	n ø ⁵⁵	i n t	60
321	Achang	Nishi Achang	cane, vine	60	nui⁵⁵	nu i ⁵⁵	n u i ⁵⁵	i m n t	60
322	Atsi	Nishi Zaiwa/Atsi	cane, vine	60	nui⁵¹	nu i ⁵¹	n u i ⁵¹	i m n t	60
436	Maru	Nishi Langsu/Maru	carry (money) on	82	vəŋ³¹	v əŋ ³¹	v ə ŋ ³¹	i n c t	82
437	Lashi	Nishi Leqi/Lashi	carry (money) on	82	wu:n³¹	w u:n ³¹	w u: n ³¹	m n c t	82
438	Bola	Nishi Bola	carry (money) on	82	vɔn⁵⁵	v ɔn ⁵⁵	v ɔ n ⁵⁵	i n c t	82
439	Atsi	Nishi Zaiwa/Atsi	carry (money) on	82	vun⁵¹	vu n ⁵¹	v u n ⁵¹	i m i t	82
1835	Maru	Nishi Langsu/Maru	carry sth with	354	vɔɂ³¹	v ɔɂ ³¹	v ɔ ʔ ³¹	i n c t	352
1836	Xiandao	Nishi Xiandao	carry sth with	354	ʐoɂ⁵⁵	ʐ oɂ ⁵⁵	ʐ o ʔ ⁵⁵	i n c t	352
1837	Lashi	Nishi Leqi/Lashi	carry sth with	354	vu:ɂ³¹	v u:ɂ ³¹	v u: ʔ ³¹	i n c t	352
1838	Bola	Nishi Bola	carry sth with	354	vaɂ³¹	v aɂ ³¹	v a ʔ ³¹	i n c t	352
1839	Achang	Nishi Achang	carry sth with	354	ʐoɂ⁵⁵	ʐ oɂ ⁵⁵	ʐ o ʔ ⁵⁵	i n c t	352
1840	Atsi	Nishi Zaiwa/Atsi	carry sth with	354	vaɂ²¹	v aɂ ²¹	v a ʔ ²¹	i n c t	352
494	Maru	Nishi Langsu/Maru	chaff, bran	93	-phɔi³⁵	- ph ɔi ³⁵	+ pʰ ɔ i ³⁵	+ i n nn t	93
495	Xiandao	Nishi Xiandao	chaff, bran	93	phu³¹-	phu ³¹ -	pʰ u ³¹ +	i m t +	93
496	Lashi	Nishi Leqi/Lashi	chaff, bran	93	-phə⁵⁵	- ph ə ⁵⁵	+ pʰ ə ⁵⁵	+ i n t	93
497	Bola	Nishi Bola	chaff, bran	93	-phui³⁵	- phu i ³⁵	+ pʰ u i ³⁵	+ i m n t	93
498	Achang	Nishi Achang	chaff, bran	93	-phoi³¹-	- ph oi ³¹ -	+ pʰ o i ³¹ +	+ i n nn t +	93
499	Atsi	Nishi Zaiwa/Atsi	chaff, bran	93	phui²¹-	phu i ²¹ -	pʰ u i ²¹ +	i m n t +	93
368	Maru	Nishi Langsu/Maru	chest	69	ɣɔ̃³¹-	ɣ ɔ̃ ³¹ -	ɣ ɔ̃ ∼ ³¹ +	i n c t +	69
369	Lashi	Nishi Leqi/Lashi	chest	69	jaŋ³¹-	j aŋ ³¹ -	j a ŋ ³¹ +	m n c t +	69
370	Bola	Nishi Bola	chest	69	ɣɔ⁵⁵-	ɣ ɔ ⁵⁵ -	ɣ ɔ ⁵⁵ +	i n t +	69
371	Atsi	Nishi Zaiwa/Atsi	chest	69	vaŋ⁵¹-	v aŋ ⁵¹ -	v a ŋ ⁵¹ +	i n c t +	69
1163	Xiandao	Nishi Xiandao	chip(rim)	217	pɛ³⁵	p ɛ ³⁵	p ɛ ³⁵	i n t	217
1164	Bola	Nishi Bola	chip(rim)	217	pai³⁵	p ai ³⁵	p a i ³⁵	i n nn t	217
1378	Maru	Nishi Langsu/Maru	chisel	261	tʃhɔɂ⁵⁵-	tʃh ɔɂ ⁵⁵ -	tʃʰ ɔ ʔ ⁵⁵ +	i n c t +	260
1379	Lashi	Nishi Leqi/Lashi	chisel	261	tʃhɔɂ⁵⁵-	tʃh ɔɂ ⁵⁵ -	tʃʰ ɔ ʔ ⁵⁵ +	i n c t +	260
1380	Bola	Nishi Bola	chisel	261	tʃhaɂ⁵⁵	tʃh aɂ ⁵⁵	tʃʰ a ʔ ⁵⁵	i n c t	260
913	Maru	Nishi Langsu/Maru	clear (water)	171	kjaŋ³⁵	kj aŋ ³⁵	k j a ŋ ³⁵	i m n c t	171
914	Xiandao	Nishi Xiandao	clear (water)	171	kɯŋ³¹	k ɯŋ ³¹	k ɯ ŋ ³¹	i n c t	171
915	Lashi	Nishi Leqi/Lashi	clear (water)	171	kjə:ŋ³³	kj ə:ŋ ³³	k j ə: ŋ ³³	i m n c t	171
916	Bola	Nishi Bola	clear (water)	171	kjaŋ³¹	kj aŋ ³¹	k j a ŋ ³¹	i m n c t	171
917	Achang	Nishi Achang	clear (water)	171	kʐəŋ³¹	kʐ əŋ ³¹	kʐ ə ŋ ³¹	i n c t	171
918	Atsi	Nishi Zaiwa/Atsi	clear (water)	171	kjiŋ²¹	kj iŋ ²¹	k j i ŋ ²¹	i m n c t	171
1710	Maru	Nishi Langsu/Maru	cold (weather)	327	kjɔɂ³¹	kj ɔɂ ³¹	k j ɔ ʔ ³¹	i m n c t	326
1711	Xiandao	Nishi Xiandao	cold (weather)	327	kʐot⁵⁵	kʐ ot ⁵⁵	kʐ o t ⁵⁵	i n c t	326
1712	Bola	Nishi Bola	cold (weather)	327	kjaɂ³¹	kj aɂ ³¹	k j a ʔ ³¹	i m n c t	326
1713	Achang	Nishi Achang	cold (weather)	327	kʐuat⁵⁵	kʐu at ⁵⁵	kʐ u a t ⁵⁵	i m n c t	326
1714	Atsi	Nishi Zaiwa/Atsi	cold (weather)	327	kjoɂ²¹	kj oɂ ²¹	k j o ʔ ²¹	i m n c t	326
1637	Lashi	Nishi Leqi/Lashi	collapse, damage	311	pjɔ:ɂ³¹	pj ɔ:ɂ ³¹	p j ɔ: ʔ ³¹	i m n c t	310
1638	Bola	Nishi Bola	collapse, damage	311	pjaɂ³¹	pj aɂ ³¹	p j a ʔ ³¹	i m n c t	310
1639	Atsi	Nishi Zaiwa/Atsi	collapse, damage	311	pjoɂ²¹	pj oɂ ²¹	p j o ʔ ²¹	i m n c t	310
1352	Maru	Nishi Langsu/Maru	come out	256	thuk⁵⁵	thu k ⁵⁵	tʰ u k ⁵⁵	i m i t	255
1353	Xiandao	Nishi Xiandao	come out	256	thoɂ⁵⁵	th oɂ ⁵⁵	tʰ o ʔ ⁵⁵	i n c t	255
1354	Lashi	Nishi Leqi/Lashi	come out	256	thuɂ⁵⁵	th uɂ ⁵⁵	tʰ u ʔ ⁵⁵	i n c t	255
1355	Bola	Nishi Bola	come out	256	thɔɂ⁵⁵	th ɔɂ ⁵⁵	tʰ ɔ ʔ ⁵⁵	i n c t	255
1356	Achang	Nishi Achang	come out	256	thoɂ⁵⁵-	th oɂ ⁵⁵ -	tʰ o ʔ ⁵⁵ +	i n c t +	255
1357	Atsi	Nishi Zaiwa/Atsi	come out	256	thoɂ⁵⁵	th oɂ ⁵⁵	tʰ o ʔ ⁵⁵	i n c t	255
1368	Maru	Nishi Langsu/Maru	connect, join	259	tshɔɂ⁵⁵	tsh ɔɂ ⁵⁵	tsʰ ɔ ʔ ⁵⁵	i n c t	258
1369	Lashi	Nishi Leqi/Lashi	connect, join	259	tshɔ:ɂ⁵⁵	tsh ɔ:ɂ ⁵⁵	tsʰ ɔ: ʔ ⁵⁵	i n c t	258
1370	Bola	Nishi Bola	connect, join	259	tshaɂ³¹	tsh aɂ ³¹	tsʰ a ʔ ³¹	i n c t	258
1371	Atsi	Nishi Zaiwa/Atsi	connect, join	259	tshoɂ⁵⁵	tsh oɂ ⁵⁵	tsʰ o ʔ ⁵⁵	i n c t	258
1490	Maru	Nishi Langsu/Maru	cook, boil	284	tʃɔ̣̣ɂ⁵⁵	tʃ ɔ̣̣ɂ ⁵⁵	tʃ ɔ̰ ʔ ⁵⁵	i n c t	283
1491	Lashi	Nishi Leqi/Lashi	cook, boil	284	tʃạ:u⁵³	tʃ ạ:u ⁵³	tʃ a̰: u ⁵³	i n nn t	283
1492	Bola	Nishi Bola	cook, boil	284	tʃaɂ⁵⁵	tʃ aɂ ⁵⁵	tʃ a ʔ ⁵⁵	i n c t	283
1493	Atsi	Nishi Zaiwa/Atsi	cook, boil	284	tʃọ̣ɂ⁵⁵	tʃ ọ̣ɂ ⁵⁵	tʃ o̰ ɂ ⁵⁵	i n c t	283
903	Maru	Nishi Langsu/Maru	copper	169	kjik⁵⁵	kj ik ⁵⁵	k j i k ⁵⁵	i m n c t	169
904	Lashi	Nishi Leqi/Lashi	copper	169	kjei³³	kj ei ³³	k j e i ³³	i m n nn t	169
905	Bola	Nishi Bola	copper	169	kji³¹	kj i ³¹	k j i ³¹	i m n t	169
906	Atsi	Nishi Zaiwa/Atsi	copper	169	kji²¹	kj i ²¹	k j i ²¹	i m n t	169
418	Maru	Nishi Langsu/Maru	cotton	79	-ạu³¹	- ạu ³¹	+ a̰ u ³¹	+ n nn t	79
419	Xiandao	Nishi Xiandao	cotton	79	-u⁵⁵	- u ⁵⁵	+ u ⁵⁵	+ n t	79
420	Lashi	Nishi Leqi/Lashi	cotton	79	-ụ³³	- ụ ³³	+ ṵ ³³	+ n t	79
421	Bola	Nishi Bola	cotton	79	-u⁵⁵	- u ⁵⁵	+ u ⁵⁵	+ n t	79
422	Achang	Nishi Achang	cotton	79	-u⁵⁵	- u ⁵⁵	+ u ⁵⁵	+ n t	79
423	Atsi	Nishi Zaiwa/Atsi	cotton	79	-ụ⁵¹	- ụ ⁵¹	+ ṵ ⁵¹	+ n t	79
993	Maru	Nishi Langsu/Maru	cow, cattle	185	nuŋ³⁵	nu ŋ ³⁵	n u ŋ ³⁵	i m i t	185
994	Xiandao	Nishi Xiandao	cow, cattle	185	no³¹	n o ³¹	n o ³¹	i n t	185
995	Lashi	Nishi Leqi/Lashi	cow, cattle	185	no³³	n o ³³	n o ³³	i n t	185
996	Bola	Nishi Bola	cow, cattle	185	nɔ³¹	n ɔ ³¹	n ɔ ³¹	i n t	185
997	Achang	Nishi Achang	cow, cattle	185	n̥o³¹	n̥ o ³¹	n̥ o ³¹	i n t	185
998	Atsi	Nishi Zaiwa/Atsi	cow, cattle	185	no²¹	n o ²¹	n o ²¹	i n t	185
887	Maru	Nishi Langsu/Maru	cross (river)	166	kau³⁵	k au ³⁵	k a u ³⁵	i n nn t	166
888	Lashi	Nishi Leqi/Lashi	cross (river)	166	ku:³³	k u: ³³	k u: ³³	i n t	166
889	Bola	Nishi Bola	cross (river)	166	ku³¹	ku ³¹	k u ³¹	i m t	166
890	Atsi	Nishi Zaiwa/Atsi	cross (river)	166	ku²¹	ku ²¹	k u ²¹	i m t	166
610	Maru	Nishi Langsu/Maru	cucumber	114	-khu³⁵	- khu ³⁵	+ kʰ u ³⁵	+ i m t	114
611	Xiandao	Nishi Xiandao	cucumber	114	-xo³¹	- x o ³¹	+ x o ³¹	+ i n t	114
612	Lashi	Nishi Leqi/Lashi	cucumber	114	-kho⁵⁵	- kh o ⁵⁵	+ kʰ o ⁵⁵	+ i n t	114
613	Bola	Nishi Bola	cucumber	114	-khɔ³⁵	- kh ɔ ³⁵	+ kʰ ɔ ³⁵	+ i n t	114
614	Achang	Nishi Achang	cucumber	114	-xo³¹	- x o ³¹	+ x o ³¹	+ i n t	114
615	Atsi	Nishi Zaiwa/Atsi	cucumber	114	-kho²¹	- kh o ²¹	+ kʰ o ²¹	+ i n t	114
1362	Maru	Nishi Langsu/Maru	deer	258	tshɛt⁵⁵	tsh ɛt ⁵⁵	tsʰ ɛ t ⁵⁵	i n c t	257
1363	Xiandao	Nishi Xiandao	deer	258	thɛt⁵⁵	th ɛt ⁵⁵	tʰ ɛ t ⁵⁵	i n c t	257
1364	Lashi	Nishi Leqi/Lashi	deer	258	tshat⁵⁵	tsh at ⁵⁵	tsʰ a t ⁵⁵	i n c t	257
1365	Bola	Nishi Bola	deer	258	tʃhɛt³¹	tʃh ɛt ³¹	tʃʰ ɛ t ³¹	i n c t	257
1366	Achang	Nishi Achang	deer	258	tɕhet⁵⁵	tɕh et ⁵⁵	tɕʰ e t ⁵⁵	i n c t	257
1367	Atsi	Nishi Zaiwa/Atsi	deer	258	tshat⁵⁵	tsh at ⁵⁵	tsʰ a t ⁵⁵	i n c t	257
1726	Atsi	Nishi Zaiwa/Atsi	deposit	331	ap²¹-	ap ²¹ -	a p ²¹ +	n c t +	330
144	Maru	Nishi Langsu/Maru	die	28	ʃik³¹	ʃ ik ³¹	ʃ i k ³¹	i n c t	28
145	Xiandao	Nishi Xiandao	die	28	ʂï⁵⁵	ʂ ï ⁵⁵	ʂ ï/ʅ ⁵⁵	i n t	28
146	Lashi	Nishi Leqi/Lashi	die	28	ʃe:i³³	ʃ e:i ³³	ʃ e: i ³³	i n nn t	28
147	Bola	Nishi Bola	die	28	ʃï⁵⁵	ʃ ï ⁵⁵	ʃ ï/ʅ ⁵⁵	i n t	28
148	Achang	Nishi Achang	die	28	ʂï⁵⁵	ʂ ï ⁵⁵	ʂ ï/ʅ ⁵⁵	i n t	28
149	Atsi	Nishi Zaiwa/Atsi	die	28	ʃi⁵¹	ʃ i ⁵¹	ʃ i ⁵¹	i n t	28
833	Maru	Nishi Langsu/Maru	dig/scoop out	156	tau³⁵	t au ³⁵	t a u ³⁵	i n nn t	156
834	Xiandao	Nishi Xiandao	dig/scoop out	156	tu³¹	tu ³¹	t u ³¹	i m t	156
835	Lashi	Nishi Leqi/Lashi	dig/scoop out	156	tu³³	tu ³³	t u ³³	i m t	156
836	Achang	Nishi Achang	dig/scoop out	156	tu³¹	tu ³¹	t u ³¹	i m t	156
837	Atsi	Nishi Zaiwa/Atsi	dig/scoop out	156	tu²¹	tu ²¹	t u ²¹	i m t	156
1640	Maru	Nishi Langsu/Maru	disappear, vanish	312	pjauk³¹	pj auk ³¹	p j a u k ³¹	i m n nn c t	311
1641	Lashi	Nishi Leqi/Lashi	disappear, vanish	312	pju:k³¹	pj u:k ³¹	p j u: k ³¹	i m n c t	311
1642	Bola	Nishi Bola	disappear, vanish	312	pjauɂ³¹	pj auɂ ³¹	p j a u ʔ ³¹	i m n nn c t	311
1643	Achang	Nishi Achang	disappear, vanish	312	tʂoɂ⁵⁵	tʂ oɂ ⁵⁵	ʈʂ o ʔ ⁵⁵	i n c t	311
1644	Atsi	Nishi Zaiwa/Atsi	disappear, vanish	312	pjuɂ²¹	pj uɂ ²¹	p j u ʔ ²¹	i m n c t	311
1724	Maru	Nishi Langsu/Maru	dislocate (joint)	330	kjɛt³¹	kj ɛt ³¹	k j ɛ t ³¹	i m n c t	329
1725	Atsi	Nishi Zaiwa/Atsi	dislocate (joint)	330	kjut²¹	kju t ²¹	k j u t ²¹	i m n i t	329
1464	Maru	Nishi Langsu/Maru	do, make	278	kạt⁵⁵	k ạt ⁵⁵	k a̰ t ⁵⁵	i n c t	277
1465	Xiandao	Nishi Xiandao	do, make	278	xut⁵⁵	xu t ⁵⁵	x u t ⁵⁵	i m i t	277
1466	Lashi	Nishi Leqi/Lashi	do, make	278	kụ:t⁵⁵	k ụ:t ⁵⁵	k ṵ: t ⁵⁵	i n c t	277
1467	Achang	Nishi Achang	do, make	278	xot⁵⁵	x ot ⁵⁵	x o t ⁵⁵	i n c t	277
1468	Atsi	Nishi Zaiwa/Atsi	do, make	278	kụt⁵⁵	k ụt ⁵⁵	k ṵ t ⁵⁵	i n c t	277
574	Maru	Nishi Langsu/Maru	dog	108	-kha³⁵	- kh a ³⁵	+ kʰ a ³⁵	+ i n t	108
