Source	Target	Orthography	Frequency	Language	
j	j		42	Rangoon	
k	k		11	Rangoon	
kʰ	kʰ		13	Rangoon	
l	l		21	Rangoon	
m	m		37	Rangoon	
m̥	m̥		4	Rangoon	
n	n		19	Rangoon	
ȵ	nʲ		4	Rangoon	
n̥	n̥		8	Rangoon	
o	o		31	Rangoon	
p	p		28	Rangoon	
pʰ	pʰ		10	Rangoon	
s	s		13	Rangoon	
t	t		20	Rangoon	
ʨ	tɕ		9	Rangoon	
ʨʰ	tɕʰ		9	Rangoon	
tʰ	tʰ		9	Rangoon	
tθ	tθ		31	Rangoon	
u	u		33	Rangoon	
w	w		27	Rangoon	
²²	²²		104	Rangoon	
õ	õ		8	Rangoon	
ĩ	ĩ		22	Rangoon	
ŋ	ŋ		7	Rangoon	
ŋ̊	ŋ̊		2	Rangoon	
ũ	ũ		3	Rangoon	
ɑ	ɑ		84	Rangoon	
ɑ̃	ɑ̃		38	Rangoon	
ɔ	ɔ		7	Rangoon	
ɕ	ɕ		7	Rangoon	
ɛ	ɛ		45	Rangoon	
ɪ̃	ɪ̃		1	Rangoon	
ɬ	ɬ		2	Rangoon	
ʔ	ʔ		61	Rangoon	
ẽ	ẽ		5	Rangoon	
⁴	⁴		60	Rangoon	
⁵³	⁵³		62	Rangoon	
⁵⁵	⁵⁵		102	Rangoon	
∼	∼		44	Rangoon	
◦	+		85	Written_Burmese	
hŋ	ŋ̊	ṅh	1	Written_Burmese	
ɑi	aj	ai	1	Written_Burmese	
hw	w̥	wh	1	Written_Burmese	
hȵ	ŋ̊ʲ	ññh	1	Written_Burmese	
î	i	ī	1	Written_Burmese	
ê	e	e	1	Written_Burmese	
ȵ̂	nʲ	ñ	2	Written_Burmese	the distinction between ñ and ññ is probably something we should talk about
û	u	u	2	Written_Burmese	
hl	l̥ 	lh	3	Written_Burmese	
hm	m̥ 	mh	4	Written_Burmese	
hr	ɕ	rh	6	Written_Burmese	
hn	n̥ 	nh	11	Written_Burmese	
sh	tsʰ	ch	12	Written_Burmese	
