	Mann number	Nishi Number	WB	OB	Reconstruction	Nishi meaning	Nishi Achang	Nishi Achang source	Nishi Xiandao	Nishi Xiandao source	Nishi Zaiwa/Atsi	Nishi Zaiwa/Atsi source	Nishi Leqi/Lashi	Nishi Leqi/Lashi source	Nishi Langsu/Maru	Nishi Langsu/Maru source	Nishi Bola	Nishi Bola source
		79	wā			cotton	-u⁵⁵	Sun1991	-u⁵⁵	Sun1991	-ụ⁵¹	Sun1991	-ụ³³	Sun1991	-ạu³¹	Sun1991	-u⁵⁵	Sun1991
		80	way			buy	oi⁵⁵	Sun1991	ui⁵⁵	Sun1991	vui⁵¹	Sun1991	ɣə:³¹	Sun1991	vai³¹	Sun1991	vɛ⁵⁵	Sun1991
29	074a	81	waṃ			bear n.	ɔm⁵⁵	Sun1991	om⁵⁵	Sun1991	vam⁵¹	Sun1991	wɔm³¹	Sun1991	vɛ̃³¹	Sun1991	vɛ̃⁵⁵	Sun1991
		82	wan			carry (money) on					vun⁵¹	Sun1991	wu:n³¹	Sun1991	vəŋ³¹	Sun1991	vɔn⁵⁵	Sun1991
	277a	83	waṅ			enter	ɔŋ⁵⁵	Sun1991	oŋ⁵⁵	Sun1991	vaŋ⁵¹	Sun1991	va:ŋ³¹	Sun1991	vɔ̃³¹	Sun1991	vɔ̃⁵⁵	Sun1991
		84	yū			take, hold, get	ñu⁵⁵	Sun1991			ju⁵¹	Sun1991	ju:³¹	Sun1991	ju³¹	Sun1991	ju⁵⁵	Sun1991
		85	yā			fields	ʑɔ⁵⁵	Sun1991	jɔ⁵⁵-	Sun1991	jɔ⁵¹	Sun1991	jo³¹-	Sun1991	jɔ³¹	Sun1991	ji³¹-	Sun1991
	355b	86	yā			right	ʑɔ⁵⁵	Sun1991	jɔ⁵⁵	Sun1991	jo⁵¹	Sun1991	jɔ³¹	Sun1991	jɔ³¹	Sun1991	ja⁵⁵	Sun1991
		87	yui			leak	ʑau⁵⁵	Sun1991	jau³¹	Sun1991	jui⁵¹	Sun1991	ja:u³¹	Sun1991	juk³¹	Sun1991	ju⁵⁵	Sun1991
		88				(swelling) subside	jɔm⁵⁵	Sun1991			jom⁵¹	Sun1991	ju:m³¹	Sun1991	jum³¹	Sun1991	jø̃⁵⁵	Sun1991
		89				side, edge, rim	-ʑam⁵⁵	Sun1991	-jam⁵⁵	Sun1991	-jam⁵¹	Sun1991	-jam³¹	Sun1991	-jɛ̃³¹	Sun1991	-jɛ̃⁵⁵	Sun1991
		90	yaṅ			fly n.					jaŋ⁵¹-	Sun1991	jaŋ³¹-	Sun1991	jɔ̃³¹-	Sun1991	jɔ̃⁵⁵-	Sun1991
	106a	91	phāḥ			frog	phɔ³¹	Sun1991	phă³¹cak⁵⁵	Sun1991	pọ̆²¹kjẹk⁵⁵	Sun1991	pɑ̣⁵⁵	Sun1991	pɔ̣³⁵	Sun1991	pạ³⁵	Sun1991
		92	phuiḥ			expensive					phau²¹	Sun1991	pha:u⁵⁵	Sun1991	phuk⁵⁵	Sun1991	phau³⁵	Sun1991
		93	phwai			chaff, bran	-phoi³¹-	Sun1991	phu³¹-	Sun1991	phui²¹-	Sun1991	-phə⁵⁵	Sun1991	-phɔi³⁵	Sun1991	-phui³⁵	Sun1991
	298a	94	thuiḥ			jab, poke, stab	thau³¹	Sun1991			thau²¹	Sun1991	tha:u⁵⁵	Sun1991	thuk⁵⁵	Sun1991	thau³⁵	Sun1991
		95	thaṅḥ			firewood	thuaŋ³¹	Sun1991	thɔŋ³¹	Sun1991	thaŋ²¹	Sun1991	thaŋ⁵⁵	Sun1991	thɔ̃³⁵	Sun1991	thɔ̃³⁵	Sun1991
	305a	96	thoṅḥ			to pestle, pound	thuŋ³¹	Sun1991	thuŋ³¹	Sun1991	thuŋ²¹	Sun1991	thu:ŋ⁵⁵	Sun1991	thauŋ³⁵	Sun1991	thauŋ³⁵	Sun1991
	071a	97	chāḥ			salt	tɕhɔ³¹	Sun1991	chɔ³¹	Sun1991	tsho⁵⁵	Sun1991	tsho⁵⁵	Sun1991	tshɔ³⁵	Sun1991	tsha³⁵	Sun1991
		98				used, old	tʂhau³¹-	Sun1991	tʂhau³¹	Sun1991	-tshau²¹	Sun1991	tsha:u⁵⁵	Sun1991	tshuk⁵⁵	Sun1991	tʃhau³⁵	Sun1991
	197a	99	chuiḥ			dye (cloth)	tʂhau³¹	Sun1991	tʂhau³¹	Sun1991	tshau²¹	Sun1991	tsha:u⁵⁵	Sun1991	tshuk⁵⁵	Sun1991	tshau³⁵	Sun1991
	265b	100	cheḥ			medicine					tʃhi²¹	Sun1991	tʃhei⁵⁵	Sun1991	tʃhik⁵⁵	Sun1991	tʃhï³⁵	Sun1991
		101	cheḥ						tshi³¹	Sun1991	tʃhi²¹	Sun1991	tʃhe:i⁵⁵	Sun1991	tʃhik⁵⁵	Sun1991	tʃhï³⁵	Sun1991
		102	-chuiḥ-			widow					tʃhui²¹-	Sun1991	tʃhou⁵⁵-	Sun1991	tʃhuk⁵⁵-	Sun1991	tʃhu³⁵-	Sun1991
		103				buckle up, fasten	tshe³¹	Sun1991	tshi³¹	Sun1991			tʃhy:⁵⁵	Sun1991	tʃhui³⁵	Sun1991	tʃhui³⁵	Sun1991
		104	khūḥ			scoop out; fill					khui²¹	Sun1991	khu:⁵⁵	Sun1991	khau³⁵	Sun1991	khu³⁵	Sun1991
1	376a	105	khāḥ			bitter	xɔ³¹	Sun1991	xɔ³¹	Sun1991	kho²¹	Sun1991	kho:⁵⁵	Sun1991	khɔ³⁵	Sun1991	kha³⁵	Sun1991
38	321a	106	khuiwḥ			steal	xau³¹	Sun1991	xau³¹	Sun1991	khau²¹	Sun1991	kha:u⁵⁵	Sun1991	khuk⁵⁵	Sun1991	khau³¹	Sun1991
	214b	107	-khuiḥ			smoke	-xau³¹	Sun1991	-xau³¹	Sun1991	-khau²¹	Sun1991	-khou⁵⁵	Sun1991	-khuk⁵⁵	Sun1991		
37	081a	108	khuyḥ			dog	xui³¹	Sun1991	fui³¹	Sun1991	khui²¹	Sun1991	khui⁵⁵	Sun1991	-kha³⁵	Sun1991	khui³⁵	Sun1991
	064a	109	khyaṅḥ			ginger	tɕhaŋ³¹	Sun1991	tʂhaŋ³¹	Sun1991	tʃhaŋ²¹	Sun1991	tʃhaŋ⁵⁵-	Sun1991	tʃhɔ̃³⁵	Sun1991	tʃhɔ̃³⁵	Sun1991
		110				blow(nose)	xʐauɂ³¹	Sun1991	tʂhau³¹	Sun1991	khjui²¹	Sun1991	khja:u⁵³	Sun1991	khjuk⁵⁵	Sun1991	khju³⁵	Sun1991
	167a	111	khleḥ			excrement	tɕhi³¹	Sun1991	khɯ³¹	Sun1991	khji²¹	Sun1991	khjei⁵⁵	Sun1991	khjik⁵⁵	Sun1991	khji³⁵	Sun1991
