CONCEPTICON	GLOSS	TBL	MANN	STB	Burmese	Old Burmese	Note
1750	to choose	1675	choose[254]		r v e ḥ		
879	to cough	1477	cough[236]	cough[180]	kh y o ṅ ḥ ◦ ch ui ḥ		khyoṅḥ = cough n., chuiḥ = be blocked, choke
96	to crawl	1536	crawl[275]		t v ā ḥ		
1879	to dance	1677	dance[312]	dance[181]	k a	k a	
157	to dye	1584	dye (cloth)[197]		ch e ḥ ◦ ch ui ḥ	ch ui v ḥ	cheḥ = dye n.
749	to enter	1447	enter[277]	enter[186]	v a ṅ	v a ṅ	
1607	to hate	1373	hate[256]	hate[195]	m u n ḥ	m u n ḥ	
148	to itch	1749	itch[266]		y ā ḥ	y ā ḥ	
1135	to kick	1667	kick[281]	kick[199]	k a n	k a n	
1608	to listen	1681		listen[203]			
923	to love	1126	love[255]		c ā	c ā	sympathize with
923	to love	1126	love[255]		kh y a c	kh y a t	love; have affection
592	to pee	1596		piss[214]	s e ḥ ◦ p o k		to piss
592	to pee	1596		piss[214]	ch ī ḥ ◦ s v ā		to urinate, svā = go
371	to pick	1782		pick[214]	kh ū ḥ		~flowers
371	to pick	1782		pick[214]	ch v a t		~fruit
1921	to plough	1347		plough (n)[214]	th a y ◦ th ui ḥ		thay = plough n., thuiḥ = a light verb
707	to remember	1407		remember[217]	mh a t	mh a t	
2243	to repair	1161		mend (clothes)[206]	ph ā	ph ā	
581	to return	1385	return[278]	return[217]	p r a n	p l a n	
367	to ride	1566		ride[217]	c ī ḥ	c ī ḥ	
1571	to sell	1517	sell[318]	sell[220]	r o ṅ ḥ	r o₂ ṅ ḥ	
1457	to sew	1324	sew[200]	sew[220]	kh y u p	kh l u p	
231	to shave	1352	shave (beard)[137]		r i t	r i t	
52	to shiver	1303	shiver[268]		kh ui k ◦ kh ui k ◦ tun		-uik is not an inherited rime
715	to shout	1368	shout[247]		au		
715	to shout	1368	shout[247]		h a c		
1088	to sink	1187	sink[286]		n a c		
1451	to smile	1735	*smile[243]	smile[224]	p r u ṃ ḥ	p r u ṃ ḥ	
1623	to speak	1649	speak[245]	speak[226]	p r o		
1437	to split	1500	split[296]		kh v ai		break, split, divide (tr)
1437	to split	1500	split[296]		k v ai		separate, split, differ (intr)
1437	to split	1500	split[296]		p ai ʔ		be broken off, be torn
1421	to suck	1648	suck[241]		c u p	c u p	
897	to swallow	1692	swallow[228]	swallow[229]	m y ui	m y ui v	
1439	to swim	1763	swim[284]	swim[230]	r e ◦ k ū ḥ		re = water, kūḥ = cross
1711	to tell	1337	tell[246]		p r o		
1917	to tie	1141	tie[289]	tie[232]	c a ññ ḥ	c a ñ ḥ	
1917	to tie	1141	tie[289]	tie[232]	t u p	t u p	
1590	to wait	1264	wait[257]	wait[235]	ch o ṅ ʔ	ch o₂ ṅ ʔ	
1453	to wash	1713	wash[292]	wash[236]	ch e ḥ	ch i y ḥ	dishes
1453	to wash	1713	wash[292]	wash[236]	lh y au		clothes, head
133	to weave	1799	weave (cloth)[196]	weave[236]	r a k 	r a k 	
1655	to wink	1780	wink[225]				
2462	to winnow	1748	winnow (rice)[303]				
1028	to yawn	1243	yawn[238]	yawn[239]	s a m ḥ	s a m ḥ	
1232	warm	1065		warm[235]	n v e ḥ	n u y ḥ	
1232	warm	1065		warm[235]	p ū	p ū	weather
1232	warm	1065		warm[235]	lh u ṃ	lh u ṃ	v. warm one'self, bask
